,Province,Country_Region,Date,Day,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
291,Khyber Pakhtunkhwa,Pakistan,4/20/2020,20,4,2020,34.485332,72.09169,1276,39,74,7,73592.47,124267.13,20912.08,1276.46,607.39,2311.84,2194759.03,432153.54,4928704.29,98.92,47.07,179.16,38100470.55,35.8846,1,1,0.9329999999999999,0,0.3957,1,12091.33,31801.6,1384.05,2683.69,7058.42,307.19,23948,643,30.89,3.48,26.77,12.91,Passing clouds.
292,Azad Jammu and Kashmir,Pakistan,4/20/2020,20,4,2020,34.027401,73.947253,50,1,0,0,561.74,1161.76,214.32,0.7,0.35,1.21,14507.64,3683.69,43591.1,0.0,0.0,0.0,4334762.096,48.8117,1,1,0.9329999999999999,0,0.5324,1,99.44,334.25,20.3,22.07,74.19,4.5,2009,59,28.0,2.86,41.0,0.0,Clear.
293,Gilgit-Baltistan,Pakistan,4/20/2020,20,4,2020,35.792146,74.982138,281,18,3,0,1064.53,1819.81,560.83,61.07,31.45,107.38,57141.04,20154.44,179743.21,0.34,0.17,0.59,2227137.68,48.8117,1,1,0.9319,0,0.3565,1,99.87,314.54,16.63,22.17,69.81,3.69,1423,36,20.57,2.0,18.71,8.52,Overcast.
294,Balochistan,Pakistan,4/21/2020,21,4,2020,28.328491999999997,65.898403,495,30,7,1,41826.98,78690.91,11251.49,237.28,129.78,408.22,676509.09,169708.71,1215496.26,25.07,13.71,43.14,13398367.25,33.8534,1,1,0.9339,0,0.3727,1,2373.43,5252.22,393.11,521.01,1152.95,86.29,6767,201,34.0,6.0,25.0,0.0,Overcast.
295,Islamabad,Pakistan,4/21/2020,21,4,2020,33.665087,73.121219,194,9,3,0,1025.4,1616.78,541.93,8.46,5.06,14.22,27207.03,10713.78,53766.43,0.72,0.43,1.21,2155173.482,61.4408,1,1,0.9291,0,0.3019,1,118.51,298.97,26.64,26.02,65.63,5.85,2567,52,49.14,5.71,29.86,17.01,Clear.
296,Punjab,Pakistan,4/21/2020,21,4,2020,30.811346,72.13913199999999,4328,133,51,6,147557.29,297099.51,42884.75,1005.69,515.99,1763.73,3983543.18,991564.9,11988135.1,88.14,45.22,154.57,113939260.1,46.0491,1,1,0.9312,0,0.4673,1,26942.58,91880.27,6553.91,5914.34,20169.23,1438.69,51809,1601,61.5,2.98,22.6,11.18,Drizzle. Mostly cloudy.
297,Sindh,Pakistan,4/21/2020,21,4,2020,26.009446,68.77680699999999,41,21,0,0,74227.75,99574.7,41937.98,623.59,330.75,1055.92,1956953.42,861978.81,3112269.86,43.13,22.88,73.04,49907675.66,58.0742,1,1,0.9357,0,0.4963,1,12929.33,22671.35,4470.99,2838.2,4976.73,981.46,31732,848,49.14,5.71,29.86,17.01,Clear.
298,Khyber Pakhtunkhwa,Pakistan,4/21/2020,21,4,2020,34.485332,72.09169,1367,91,80,6,74639.5,123516.53,21420.31,1377.92,655.67,2495.6,2269398.53,453573.85,5038767.82,101.46,48.28,183.76,38100470.55,36.0921,1,1,0.9289,0,0.3984,1,12506.07,32658.93,1453.53,2745.29,7169.17,319.07,23948,643,42.14,4.05,31.95,17.66,Partly cloudy.
299,Azad Jammu and Kashmir,Pakistan,4/21/2020,21,4,2020,34.027401,73.947253,51,1,0,0,592.04,1194.73,226.49,0.82,0.41,1.42,15099.69,3947.15,44785.83,0.12,0.06,0.21,4334762.096,48.6564,1,1,0.929,0,0.5385,1,102.63,340.39,22.05,22.53,74.72,4.84,2009,59,28.71,3.29,38.86,0.0,Passing clouds.
300,Gilgit-Baltistan,Pakistan,4/21/2020,21,4,2020,35.792146,74.982138,283,2,3,0,1146.3,1925.18,627.02,61.5,31.68,108.14,58287.35,20863.31,181450.03,0.43,0.22,0.76,2227137.68,48.6564,1,1,0.9278,0,0.3622,1,102.02,306.6,18.64,22.4,67.3,4.09,1423,36,22.29,3.0,12.71,8.51,Overcast.
301,Balochistan,Pakistan,4/22/2020,22,4,2020,28.328491999999997,65.898403,552,57,8,1,43716.51,80143.42,11923.42,264.06,144.42,454.29,720225.6,182996.35,1288346.06,26.78,14.65,46.07,13398367.25,34.3511,1,1,0.9319,0,0.3751,1,2552.88,5580.66,411.93,554.58,1212.33,89.49,6767,201,17.71,3.29,10.43,0.0,Passing clouds.
302,Islamabad,Pakistan,4/22/2020,22,4,2020,33.665087,73.121219,204,10,3,0,1104.47,1731.86,590.86,9.12,5.46,15.33,28311.5,11346.0,55600.51,0.66,0.4,1.12,2155173.482,61.349,1,1,0.927,0,0.308,1,120.28,302.91,27.15,26.13,65.8,5.9,2567,52,36.29,2.43,16.0,8.51,Clear.
303,Punjab,Pakistan,4/22/2020,22,4,2020,30.811346,72.13913199999999,4590,262,58,7,153159.22,302818.21,44875.5,1097.76,563.23,1925.2,4136702.4,1037051.79,12287457.77,92.07,47.24,161.46,113939260.1,46.073,1,1,0.9292,0,0.4711,1,27742.54,92895.74,6881.73,6026.74,20180.51,1494.97,51809,1601,57.65,2.1,18.5,9.32,Thunderstorms. Mostly cloudy.
304,Sindh,Pakistan,4/22/2020,22,4,2020,26.009446,68.77680699999999,82,41,1,1,76221.68,101694.85,43583.51,665.47,352.97,1126.84,2033175.11,905540.98,3206353.77,41.88,22.21,70.92,49907675.66,58.0088,1,1,0.9339,0,0.499,1,13392.87,23284.91,4712.71,2909.44,5058.37,1023.78,31732,848,36.29,2.43,16.0,8.51,Clear.
305,Khyber Pakhtunkhwa,Pakistan,4/22/2020,22,4,2020,34.485332,72.09169,1453,86,83,3,75780.06,123034.02,21935.35,1482.32,705.35,2684.68,2345178.59,475509.2,5150375.57,104.4,49.68,189.08,38100470.55,36.6988,1,1,0.9268,0,0.4001,1,12900.8,33439.64,1523.18,2802.55,7264.37,330.89,23948,643,42.14,4.05,31.95,17.66,Partly cloudy.
306,Azad Jammu and Kashmir,Pakistan,4/22/2020,22,4,2020,34.027401,73.947253,53,2,0,0,625.72,1229.74,239.86,1.05,0.53,1.82,15725.41,4247.51,46018.19,0.23,0.12,0.4,4334762.096,48.7134,1,1,0.9269,0,0.5435,1,105.9,345.98,23.84,23.01,75.16,5.18,2009,59,21.43,1.29,27.57,0.0,Passing clouds.
307,Gilgit-Baltistan,Pakistan,4/22/2020,22,4,2020,35.792146,74.982138,290,7,3,0,1234.0,2036.87,662.87,61.98,31.92,108.98,59521.35,21633.57,183259.49,0.48,0.25,0.84,2227137.68,48.7134,1,1,0.9256,0,0.3673,1,104.86,301.94,21.04,22.78,65.59,4.57,1423,36,20.29,0.71,6.14,4.26,Passing clouds.
308,Balochistan,Pakistan,4/23/2020,23,4,2020,28.328491999999997,65.898403,607,55,9,1,45574.05,83193.71,12547.11,292.48,159.97,503.19,765799.65,196998.21,1361255.18,28.42,15.55,48.9,13398367.25,35.0581,1,1,0.9301,0,0.3771,1,2745.07,6025.61,436.06,590.39,1295.94,93.79,6767,201,72.86,9.86,53.14,0.0,Passing clouds.
309,Islamabad,Pakistan,4/23/2020,23,4,2020,33.665087,73.121219,214,10,3,0,1192.93,1852.51,646.28,9.71,5.81,16.32,29504.43,12036.48,57578.83,0.59,0.35,0.99,2155173.482,61.4484,1,1,0.925,0,0.3142,1,122.1,306.92,27.26,26.26,66.01,5.86,2567,52,49.29,4.14,22.0,12.73,Passing clouds.
310,Punjab,Pakistan,4/23/2020,23,4,2020,30.811346,72.13913199999999,4767,177,65,7,159228.12,309340.15,46943.71,1194.1,612.66,2094.16,4295930.53,1084201.2,12590312.24,96.34,49.43,168.96,113939260.1,46.292,1,1,0.9272,0,0.4742,1,28530.73,93751.95,7127.83,6136.17,20163.44,1533.0,51809,1601,74.58,2.27,12.77,10.53,Passing clouds.
311,Sindh,Pakistan,4/23/2020,23,4,2020,26.009446,68.77680699999999,165,83,2,1,78372.85,104457.08,45311.36,707.66,375.34,1198.28,2111547.96,950852.34,3309760.1,42.19,22.38,71.44,49907675.66,58.0852,1,1,0.932,0,0.5012,1,13841.44,23895.42,4959.1,2976.91,5139.24,1066.56,31732,848,49.29,4.14,22.0,12.73,Passing clouds.
312,Khyber Pakhtunkhwa,Pakistan,4/23/2020,23,4,2020,34.485332,72.09169,1541,88,85,2,77017.56,122693.34,22458.81,1590.64,756.89,2880.86,2422196.15,497968.01,5263721.57,108.32,51.54,196.18,38100470.55,37.6353,1,1,0.9248,0,0.401,1,13274.39,34111.97,1592.69,2854.95,7336.54,342.54,23948,643,37.05,2.95,23.43,14.27,Partly cloudy.
313,Azad Jammu and Kashmir,Pakistan,4/23/2020,23,4,2020,34.027401,73.947253,55,2,0,0,663.07,1271.65,254.57,1.37,0.69,2.37,16388.48,4596.1,47293.17,0.32,0.16,0.55,4334762.096,48.9488,1,1,0.9249,0,0.5476,1,109.25,350.98,25.7,23.5,75.49,5.53,2009,59,64.14,3.71,61.14,0.0,Passing clouds.
314,Gilgit-Baltistan,Pakistan,4/23/2020,23,4,2020,35.792146,74.982138,300,10,3,0,1327.58,2154.55,721.97,62.45,32.16,109.81,60848.93,22474.91,185178.6,0.47,0.24,0.82,2227137.68,48.9488,1,1,0.9236,0,0.3719,1,108.36,299.52,23.75,23.31,64.42,5.11,1423,36,65.0,4.14,23.29,17.0,Clear.
315,Balochistan,Pakistan,4/24/2020,24,4,2020,28.328491999999997,65.898403,656,49,10,1,47393.92,87614.12,13162.98,322.47,176.37,554.78,813193.57,211648.78,1444083.63,29.99,16.4,51.59,13398367.25,35.8984,1,1,0.9263,0,0.3786,1,2952.22,6515.2,467.39,628.22,1386.41,99.46,6767,201,72.86,9.86,53.14,0.0,Passing clouds.
316,Islamabad,Pakistan,4/24/2020,24,4,2020,33.665087,73.121219,223,9,3,0,1291.57,1989.54,709.11,10.22,6.12,17.17,30796.0,12792.43,59717.67,0.51,0.3,0.85,2155173.482,61.7031,1,1,0.9209,0,0.3213,1,124.12,311.28,27.33,26.41,66.24,5.82,2567,52,38.14,6.29,27.86,16.96,Clear.
317,Punjab,Pakistan,4/24/2020,24,4,2020,30.811346,72.13913199999999,5046,279,73,8,165790.16,316663.07,48790.47,1295.48,664.67,2271.95,4461720.68,1133167.99,12897546.84,101.38,52.01,177.79,113939260.1,46.652,1,1,0.9233,0,0.4767,1,29334.5,94527.59,7351.79,6242.25,20115.06,1564.43,51809,1601,72.54,3.92,22.27,16.7,Partly cloudy.
318,Sindh,Pakistan,4/24/2020,24,4,2020,26.009446,68.77680699999999,330,165,5,3,80686.26,107396.28,47130.78,752.38,399.06,1274.0,2192234.22,997983.11,3415741.12,44.72,23.72,75.73,49907675.66,58.2567,1,1,0.9283,0,0.5028,1,14292.58,24479.49,5221.36,3041.4,5209.13,1111.08,31732,848,38.14,6.29,27.86,16.96,Clear.
319,Khyber Pakhtunkhwa,Pakistan,4/24/2020,24,4,2020,34.485332,72.09169,1708,167,89,4,78354.4,122604.41,22992.76,1704.46,811.05,3087.01,2500550.55,520960.77,5378983.07,113.82,54.16,206.15,38100470.55,38.7829,1,1,0.9207,0,0.4011,1,13638.36,34699.88,1663.17,2902.18,7383.98,353.92,23948,643,40.41,2.82,25.16,14.9,Haze.
320,Azad Jammu and Kashmir,Pakistan,4/24/2020,24,4,2020,34.027401,73.947253,56,1,0,0,704.37,1327.54,270.74,1.73,0.87,3.0,17092.85,4977.38,48616.08,0.36,0.18,0.62,4334762.096,49.3057,1,1,0.9208,0,0.5509,1,112.77,355.67,28.04,24.0,75.68,5.97,2009,59,33.43,0.57,15.71,0.0,Clear.
321,Gilgit-Baltistan,Pakistan,4/24/2020,24,4,2020,35.792146,74.982138,307,7,3,0,1426.92,2280.44,765.09,62.84,32.37,110.5,62275.85,23438.17,187214.53,0.39,0.2,0.69,2227137.68,49.3057,1,1,0.9194,0,0.3761,1,112.59,302.59,26.64,23.96,64.39,5.67,1423,36,35.14,3.71,16.14,12.74,Sunny.
322,Balochistan,Pakistan,4/25/2020,25,4,2020,28.328491999999997,65.898403,722,66,11,1,49171.22,92013.73,13680.28,353.91,193.57,608.88,862364.79,227025.71,1527786.8,31.44,17.2,54.1,13398367.25,36.7761,1,1,0.9225,0,0.3798,1,3177.67,6998.53,503.9,668.12,1471.48,105.95,6767,201,69.29,12.57,36.86,0.0,Haze.
323,Islamabad,Pakistan,4/25/2020,25,4,2020,33.665087,73.121219,235,12,3,0,1401.21,2143.09,780.12,10.64,6.37,17.88,32197.21,13621.88,62034.18,0.42,0.25,0.71,2155173.482,62.0575,1,1,0.9168,0,0.3294,1,126.52,313.0,27.49,26.6,65.81,5.78,2567,52,63.86,14.86,44.0,29.64,Clear.
324,Punjab,Pakistan,4/25/2020,25,4,2020,30.811346,72.13913199999999,5378,332,81,8,172868.76,327276.61,50811.61,1403.06,719.87,2460.62,4634589.44,1184123.01,13210047.2,107.58,55.2,188.67,113939260.1,47.0825,1,1,0.9194,0,0.4785,1,30190.78,95322.99,7569.76,6347.79,20042.21,1591.59,51809,1601,69.52,3.42,11.44,9.88,Haze.
325,Sindh,Pakistan,4/25/2020,25,4,2020,26.009446,68.77680699999999,661,331,11,6,83166.97,110762.98,49018.85,801.6,425.17,1357.36,2275401.18,1047001.96,3523664.68,49.22,26.11,83.35,49907675.66,58.4624,1,1,0.9247,0,0.5041,1,14766.09,25081.53,5509.25,3104.66,5273.54,1158.35,31732,848,63.86,14.86,44.0,29.64,Clear.
326,Khyber Pakhtunkhwa,Pakistan,4/25/2020,25,4,2020,34.485332,72.09169,1793,85,93,4,79791.82,123621.44,23539.67,1825.99,868.88,3307.11,2580342.37,544500.44,5496320.52,121.53,57.83,220.1,38100470.55,39.9884,1,1,0.9166,0,0.4006,1,14008.78,35237.73,1736.26,2945.43,7408.94,365.06,23948,643,40.41,2.82,25.16,14.9,Haze.
327,Azad Jammu and Kashmir,Pakistan,4/25/2020,25,4,2020,34.027401,73.947253,57,1,0,0,749.94,1397.14,288.43,2.06,1.03,3.56,17842.79,5396.89,49992.6,0.33,0.16,0.57,4334762.096,49.7119,1,1,0.9167,0,0.5534,1,116.6,360.41,30.71,24.52,75.78,6.46,2009,59,61.71,0.29,9.71,0.0,Clear.
328,Gilgit-Baltistan,Pakistan,4/25/2020,25,4,2020,35.792146,74.982138,308,1,3,0,1531.84,2488.24,809.78,63.09,32.49,110.93,63807.69,24965.54,189374.55,0.25,0.13,0.44,2227137.68,49.7119,1,1,0.9153,0,0.3799,1,117.42,307.0,29.62,24.69,64.55,6.23,1423,36,80.0,7.71,39.29,25.49,Clear.
329,Balochistan,Pakistan,4/26/2020,26,4,2020,28.328491999999997,65.898403,781,59,13,2,50902.14,96287.51,14181.74,386.68,211.49,665.24,913266.93,243116.39,1612034.23,32.76,17.92,56.37,13398367.25,37.5851,1,1,0.9187,0,0.3807,1,3420.82,7413.38,547.28,710.67,1540.13,113.7,6767,201,37.0,6.71,25.29,0.0,Overcast.
330,Islamabad,Pakistan,4/26/2020,26,4,2020,33.665087,73.121219,245,10,3,0,1522.68,2318.45,860.07,10.98,6.57,18.45,33719.9,14533.67,64546.32,0.34,0.2,0.57,2155173.482,62.4485,1,1,0.9128,0,0.3386,1,129.27,314.08,27.81,26.86,65.25,5.78,2567,52,39.43,8.71,33.86,21.2,Passing clouds.
331,Punjab,Pakistan,4/26/2020,26,4,2020,30.811346,72.13913199999999,5446,68,83,2,180485.84,340370.76,53024.04,1518.41,779.06,2662.92,4815075.28,1237254.58,13528740.47,115.35,59.18,202.3,113939260.1,47.5096,1,1,0.9154,0,0.4797,1,31076.56,96045.67,7778.26,6456.14,19953.44,1615.93,51809,1601,61.83,2.25,19.23,9.89,Drizzle. Mostly cloudy.
332,Sindh,Pakistan,4/26/2020,26,4,2020,26.009446,68.77680699999999,1322,661,23,12,85818.76,114071.41,50974.27,856.75,454.42,1450.73,2361219.95,1097976.23,3633713.78,55.14,29.25,93.37,49907675.66,58.6444,1,1,0.9209999999999999,0,0.5051,1,15250.34,25664.69,5819.91,3168.25,5331.83,1209.08,31732,848,39.43,8.71,33.86,21.2,Passing clouds.
333,Khyber Pakhtunkhwa,Pakistan,4/26/2020,26,4,2020,34.485332,72.09169,1864,71,98,5,81329.72,125006.77,24102.56,1957.99,931.69,3546.19,2661672.09,568603.0,5615878.3,132.0,62.81,239.08,38100470.55,41.103,1,1,0.9125,0,0.39899999999999997,1,14372.77,35690.3,1810.21,2985.94,7414.64,376.07,23948,643,33.52,4.02,21.93,12.84,Passing clouds.
334,Azad Jammu and Kashmir,Pakistan,4/26/2020,26,4,2020,34.027401,73.947253,59,2,0,0,800.1,1482.59,307.46,2.27,1.14,3.92,18642.88,5868.36,51428.82,0.21,0.1,0.36,4334762.096,50.0966,1,1,0.9126,0,0.5552,1,120.62,364.84,33.6,25.06,75.8,6.98,2009,59,51.14,1.86,48.43,0.0,Clear.
335,Gilgit-Baltistan,Pakistan,4/26/2020,26,4,2020,35.792146,74.982138,318,10,3,0,1642.07,2710.06,857.38,63.11,32.51,110.98,65449.76,26513.28,191666.02,0.03,0.01,0.05,2227137.68,50.0966,1,1,0.9112,0,0.3833,1,122.76,312.37,32.62,25.5,64.89,6.78,1423,36,57.29,13.43,28.14,17.0,Haze.
336,Balochistan,Pakistan,4/27/2020,27,4,2020,28.328491999999997,65.898403,853,72,14,1,52583.94,100377.44,14674.61,420.58,230.03,723.57,965850.87,259902.46,1696521.35,33.91,18.54,58.33,13398367.25,38.2346,1,1,0.9149,0,0.3813,1,3676.64,7830.82,596.97,754.05,1606.04,122.43,6767,201,52.57,9.29,20.86,0.0,Sunny.
337,Islamabad,Pakistan,4/27/2020,27,4,2020,33.665087,73.121219,261,16,4,1,1656.82,2547.6,949.8,11.25,6.73,18.9,35376.72,15537.59,67272.81,0.27,0.16,0.45,2155173.482,62.8158,1,1,0.9087,0,0.3484,1,132.25,315.37,28.35,27.12,64.68,5.82,2567,52,39.43,8.71,33.86,21.2,Passing clouds.
338,Punjab,Pakistan,4/27/2020,27,4,2020,30.811346,72.13913199999999,5640,194,91,8,188661.17,350586.37,55446.11,1642.92,842.94,2881.27,5003736.45,1292770.17,13854598.43,124.51,63.88,218.35,113939260.1,47.8678,1,1,0.9115,0,0.4802,1,31944.08,96538.36,7969.75,6551.48,19799.25,1634.53,51809,1601,62.31,0.94,6.25,4.33,Clear.
339,Sindh,Pakistan,4/27/2020,27,4,2020,26.009446,68.77680699999999,2645,1323,46,23,88644.14,117501.4,52994.71,918.65,487.26,1555.55,2449864.08,1150972.0,3746062.35,61.91,32.84,104.83,49907675.66,58.7579,1,1,0.9173,0,0.5058,1,15719.66,26026.9,6143.38,3223.98,5337.91,1259.96,31732,848,39.43,8.71,33.86,21.2,Passing clouds.
340,Khyber Pakhtunkhwa,Pakistan,4/27/2020,27,4,2020,34.485332,72.09169,1984,120,104,6,82966.71,126571.48,24685.03,2102.85,1000.62,3808.55,2744638.8,593288.03,5737784.81,144.86,68.93,262.36,38100470.55,42.0117,1,1,0.9085,0,0.3966,1,14705.99,35911.41,1881.7,3016.08,7365.14,385.92,23948,643,39.86,3.98,24.68,14.9,Passing clouds.
341,Azad Jammu and Kashmir,Pakistan,4/27/2020,27,4,2020,34.027401,73.947253,65,6,0,0,855.18,1574.88,328.33,2.28,1.14,3.94,19498.07,6384.99,52931.27,0.01,0.01,0.02,4334762.096,50.4014,1,1,0.9086,0,0.5566,1,124.37,368.19,36.07,25.51,75.51,7.4,2009,59,42.71,1.57,38.71,0.0,Sunny.
342,Gilgit-Baltistan,Pakistan,4/27/2020,27,4,2020,35.792146,74.982138,320,2,3,0,1757.3,2862.18,907.93,63.12,32.51,110.98,67207.06,27578.96,194096.27,0.0,0.0,0.0,2227137.68,50.4014,1,1,0.907,0,0.3864,1,128.39,318.23,35.61,26.33,65.27,7.3,1423,36,58.86,4.86,33.29,21.25,Partly sunny.
343,Balochistan,Pakistan,4/28/2020,28,4,2020,28.328491999999997,65.898403,915,62,14,0,54214.4,103890.97,15157.06,455.4,249.08,783.48,1020065.27,276374.47,1780970.11,34.82,19.04,59.9,13398367.25,38.6591,1,1,0.9111,0,0.3818,1,3957.42,8278.12,651.29,800.96,1675.45,131.82,6767,201,20.0,3.29,8.57,0.0,Clear.
344,Islamabad,Pakistan,4/28/2020,28,4,2020,33.665087,73.121219,297,36,4,0,1804.42,2799.32,1050.15,11.45,6.86,19.25,37181.14,16644.47,69584.41,0.21,0.12,0.35,2155173.482,63.1031,1,1,0.9046,0,0.3592,1,136.01,318.02,29.59,27.53,64.37,5.99,2567,52,39.43,8.71,33.86,21.2,Passing clouds.
345,Punjab,Pakistan,4/28/2020,28,4,2020,30.811346,72.13913199999999,5827,187,100,9,197411.73,361717.58,58098.25,1777.35,911.91,3117.03,5201148.18,1350898.57,14188617.93,134.43,68.97,235.76,113939260.1,48.0973,1,1,0.9075,0,0.4799,1,32899.22,97116.12,8244.7,6658.63,19655.8,1668.68,51809,1601,68.1,3.85,21.83,17.37,Haze.
346,Sindh,Pakistan,4/28/2020,28,4,2020,26.009446,68.77680699999999,5291,2646,92,46,91644.55,120873.64,55091.62,987.58,523.82,1672.27,2541508.63,1206054.47,3858027.55,68.93,36.56,116.71,49907675.66,58.7636,1,1,0.9136,0,0.5065,1,16222.72,26366.52,6497.4,3283.39,5336.45,1315.04,31732,848,39.43,8.71,33.86,21.2,Passing clouds.
347,Khyber Pakhtunkhwa,Pakistan,4/28/2020,28,4,2020,34.485332,72.09169,2160,176,114,10,84700.18,128235.86,25291.2,2261.82,1076.26,4096.47,2829338.98,618579.22,5862152.22,158.97,75.65,287.92,38100470.55,42.6324,1,1,0.9044,0,0.3941,1,15054.15,35927.94,1956.51,3046.88,7271.63,395.99,23948,643,56.02,8.98,41.23,21.74,Haze.
348,Azad Jammu and Kashmir,Pakistan,4/28/2020,28,4,2020,34.027401,73.947253,65,0,0,0,915.54,1674.33,351.19,2.28,1.14,3.94,20413.61,6950.75,54507.0,0.0,0.0,0.0,4334762.096,50.5769,1,1,0.9045,0,0.5574,1,128.37,371.78,38.36,25.98,75.25,7.76,2009,59,52.14,3.29,75.57,0.0,Clear.
349,Gilgit-Baltistan,Pakistan,4/28/2020,28,4,2020,35.792146,74.982138,330,10,3,0,1877.18,3069.1,961.46,63.12,32.51,110.99,69084.25,28677.75,196672.57,0.0,0.0,0.0,2227137.68,50.5769,1,1,0.9029,0,0.3892,1,134.8,325.75,39.0,27.28,65.93,7.89,1423,36,71.57,10.71,72.86,29.91,Clear.
350,Balochistan,Pakistan,4/29/2020,29,4,2020,28.328491999999997,65.898403,978,63,14,0,55791.43,106728.53,15626.88,490.85,268.47,844.47,1075856.7,292056.82,1865128.87,35.45,19.39,60.99,13398367.25,38.8175,1,1,0.9092,0,0.3823,1,4258.87,8835.03,708.49,849.05,1761.36,141.25,6767,201,64.43,16.0,29.43,0.0,Passing clouds.
351,Islamabad,Pakistan,4/29/2020,29,4,2020,33.665087,73.121219,313,16,4,0,1966.22,3064.76,1143.83,11.62,6.95,19.52,39147.36,17866.22,71940.92,0.16,0.1,0.27,2155173.482,63.2648,1,1,0.9025,0,0.3713,1,140.49,321.71,31.53,28.01,64.14,6.29,2567,52,64.57,8.29,36.43,25.51,Clear.
352,Punjab,Pakistan,4/29/2020,29,4,2020,30.811346,72.13913199999999,6061,234,103,3,206750.82,373788.83,60993.11,1921.83,986.04,3370.41,5407898.99,1411891.68,14531791.8,144.48,74.13,253.38,113939260.1,48.1454,1,1,0.9055,0,0.4795,1,33900.56,97644.87,8520.87,6758.44,19466.55,1698.73,51809,1601,67.12,4.4,21.75,13.05,Thundershowers. Passing clouds.
353,Sindh,Pakistan,4/29/2020,29,4,2020,26.009446,68.77680699999999,5695,404,100,8,94820.54,124114.93,57214.5,1063.16,563.91,1800.26,2636329.17,1263288.54,3969243.26,75.59,40.09,127.99,49907675.66,58.6286,1,1,0.9117,0,0.5073,1,16734.62,26697.69,6870.39,3336.23,5322.47,1369.68,31732,848,64.57,8.29,36.43,25.51,Clear.
354,Khyber Pakhtunkhwa,Pakistan,4/29/2020,29,4,2020,34.485332,72.09169,2381,221,137,23,86526.91,129996.08,25925.85,2434.97,1158.66,4410.06,2915865.89,644505.07,5989076.36,173.15,82.39,313.59,38100470.55,42.9161,1,1,0.9023,0,0.3911,1,15394.29,35906.54,2031.81,3069.02,7158.35,405.06,23948,643,48.77,3.61,32.11,15.66,Partly cloudy.
355,Azad Jammu and Kashmir,Pakistan,4/29/2020,29,4,2020,34.027401,73.947253,66,1,0,0,981.53,1781.29,376.23,2.29,1.14,3.95,21395.13,7569.83,56163.59,0.0,0.0,0.0,4334762.096,50.5834,1,1,0.9024,0,0.5579,1,132.51,375.14,41.23,26.42,74.79,8.22,2009,59,45.43,0.29,10.57,0.0,Overcast.
356,Gilgit-Baltistan,Pakistan,4/29/2020,29,4,2020,35.792146,74.982138,333,3,3,0,2001.35,3280.41,1017.97,63.12,32.51,110.99,71085.59,29808.01,199402.03,0.0,0.0,0.0,2227137.68,50.5834,1,1,0.9008,0,0.3916,1,141.96,334.24,42.84,28.3,66.64,8.54,1423,36,64.71,8.0,56.43,25.65,Thunderstorms. Overcast.
357,Balochistan,Pakistan,4/30/2020,30,4,2020,28.328491999999997,65.898403,1049,71,15,1,57313.28,109300.85,16253.94,526.6,288.02,905.97,1133169.98,308202.64,1948772.9,35.75,19.55,61.5,13398367.25,38.69,1,1,0.9073,0,0.3828,1,4584.83,9530.83,770.36,901.31,1873.62,151.44,6767,201,64.43,16.0,29.43,0.0,Passing clouds.
358,Islamabad,Pakistan,4/30/2020,30,4,2020,33.665087,73.121219,343,30,4,0,2142.88,3337.1,1247.8,11.75,7.03,19.74,41290.24,19215.75,74481.58,0.13,0.08,0.23,2155173.482,63.2683,1,1,0.9006,0,0.3852,1,145.96,326.82,34.29,28.69,64.25,6.74,2567,52,11.71,1.71,8.14,4.25,Clear.
359,Punjab,Pakistan,4/30/2020,30,4,2020,30.811346,72.13913199999999,6340,279,106,3,216686.34,386854.67,64125.67,2075.82,1065.05,3640.48,5624585.33,1476017.35,14885102.88,153.99,79.01,270.06,113939260.1,47.9692,1,1,0.9036,0,0.4786,1,34976.38,98202.92,8804.56,6875.83,19305.2,1730.84,51809,1601,67.12,4.4,21.75,13.05,Thundershowers. Passing clouds.
360,Sindh,Pakistan,4/30/2020,30,4,2020,26.009446,68.77680699999999,6053,358,112,12,98172.0,127517.97,59429.67,1144.42,607.0,1937.84,2734501.17,1322739.16,4083781.56,81.25,43.1,137.59,49907675.66,58.327,1,1,0.9099,0,0.508,1,17263.9,27200.66,7263.12,3393.82,5347.24,1427.82,31732,848,11.71,1.71,8.14,4.25,Clear.
361,Khyber Pakhtunkhwa,Pakistan,4/30/2020,30,4,2020,34.485332,72.09169,2627,246,146,9,88442.72,131848.79,26594.41,2621.1,1247.22,4747.17,3004308.61,671099.49,6118636.14,186.13,88.57,337.11,38100470.55,42.8451,1,1,0.9003,0,0.3877,1,15734.89,36065.23,2108.96,3093.24,7089.88,414.59,23948,643,16.68,0.34,4.98,2.04,5 mph
