,Province,Country_Region,Date,Day,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
13,Gilgit-Baltistan,Pakistan,3/11/2020,11,3,2020,35.792146,74.982138,3,1,0,0,1696.76,5825.25,369.84,0.0,0.0,0.0,28756.33,6364.77,100395.19,0.0,0.0,0.0,2227137.68,4.0638,1,1,1.0683,0,0.0013,1,28.35,88.74,5.61,9.01,28.2,1.78,1423,36,41.29,0.43,7.57,4.28,Haze.
14,Balochistan,Pakistan,3/12/2020,12,3,2020,28.328491999999997,65.898403,3,2,0,0,4332.3,12768.61,747.55,0.0,0.0,0.0,62623.78,10955.44,234230.9,0.0,0.0,0.0,13398367.25,3.9355,1,1,1.0609,0,0.002,1,63.69,245.74,10.37,19.54,75.39,3.18,6767,201,39.86,13.29,70.43,0.0,Overcast.
15,Islamabad,Pakistan,3/12/2020,12,3,2020,33.665087,73.121219,2,0,0,0,347.1,923.49,86.46,0.0,0.0,0.0,3952.23,767.0,12496.41,0.0,0.0,0.0,2155173.482,1.4080000000000001,1,1,1.0653,0,0.0017,1,5.76,25.16,0.35,1.77,7.72,0.11,2567,52,72.43,9.43,34.43,25.52,Clear.
16,Punjab,Pakistan,3/12/2020,12,3,2020,30.811346,72.13913199999999,0,0,0,0,39168.58,151827.41,4135.25,0.0,0.0,0.0,273516.35,22616.55,1104841.67,0.0,0.0,0.0,113939260.1,4.7775,1,1,1.0633,0,0.0001,1,114.61,373.74,12.07,35.16,114.67,3.7,51809,1601,53.31,4.9,53.12,18.58,Passing clouds.
17,Sindh,Pakistan,3/12/2020,12,3,2020,26.009446,68.77680699999999,0,0,0,0,9866.54,25620.77,3367.48,0.0,0.0,0.0,67628.93,22800.97,176870.39,0.0,0.0,0.0,49907675.66,1.8236,1,1,1.0592,0,0.0958,1,47.76,145.9,0.0,14.65,44.76,0.0,31732,848,72.43,9.43,34.43,25.52,Clear.
18,Khyber Pakhtunkhwa,Pakistan,3/12/2020,12,3,2020,34.485332,72.09169,0,0,0,0,14867.9,48041.84,1468.02,0.0,0.0,0.0,113634.09,9513.06,339780.18,0.0,0.0,0.0,38100470.55,5.1126,1,1,1.0655,0,0.0001,1,112.94,290.09,7.44,34.65,89.0,2.28,23948,643,56.25,6.0,58.64,27.14,Partly cloudy.
19,Azad Jammu and Kashmir,Pakistan,3/12/2020,12,3,2020,34.027401,73.947253,0,0,0,0,137.65,551.75,14.38,0.0,0.0,0.0,1552.06,206.63,6231.46,0.0,0.0,0.0,4334762.096,3.4978,1,1,1.0654,0,0.0,1,2.92,12.78,0.31,0.9,3.92,0.09,2009,59,37.57,3.86,52.29,0.0,Passing clouds.
20,Gilgit-Baltistan,Pakistan,3/12/2020,12,3,2020,35.792146,74.982138,3,0,0,0,1570.7,5327.17,339.75,0.0,0.0,0.0,30327.03,6917.92,106763.32,0.0,0.0,0.0,2227137.68,3.4978,1,1,1.0666,0,0.0017,1,37.68,115.99,7.77,11.56,35.59,2.38,1423,36,51.43,8.14,48.0,21.34,Passing clouds.
21,Balochistan,Pakistan,3/13/2020,13,3,2020,28.328491999999997,65.898403,6,3,0,0,4307.77,12483.37,755.37,0.0,0.0,0.0,66931.55,11773.38,244191.89,0.0,0.0,0.0,13398367.25,3.4122,1,1,1.0576,0,0.0035,1,80.07,307.49,13.51,23.77,91.27,4.01,6767,201,43.14,14.71,48.43,0.0,Passing clouds.
22,Islamabad,Pakistan,3/13/2020,13,3,2020,33.665087,73.121219,3,1,0,0,368.64,967.05,94.79,0.0,0.0,0.0,4320.88,858.26,13434.81,0.0,0.0,0.0,2155173.482,0.40299999999999997,1,1,1.0618,0,0.0028,1,6.54,27.1,0.45,1.94,8.04,0.13,2567,52,72.57,12.57,20.71,25.57,Clear.
23,Punjab,Pakistan,3/13/2020,13,3,2020,30.811346,72.13913199999999,0,0,0,0,42773.96,165279.49,4843.66,0.0,0.0,0.0,316290.31,27460.21,1269074.2,0.0,0.0,0.0,113939260.1,3.889,1,1,1.0599,0,0.0002,1,158.85,514.95,16.66,47.15,152.85,4.94,51809,1601,56.46,6.56,77.27,27.94,Drizzle. Mostly cloudy.
24,Sindh,Pakistan,3/13/2020,13,3,2020,26.009446,68.77680699999999,0,0,0,0,11465.27,29127.38,3914.67,0.0,0.0,0.0,79094.2,27009.58,207349.63,0.0,0.0,0.0,49907675.66,3.4745,1,1,1.056,0,0.1052,1,76.1,179.16,28.1,22.59,53.18,8.34,31732,848,72.57,12.57,20.71,25.57,Clear.
25,Khyber Pakhtunkhwa,Pakistan,3/13/2020,13,3,2020,34.485332,72.09169,1,1,0,0,16879.73,55739.16,1696.87,0.0,0.0,0.0,130513.82,11209.93,391632.45,0.0,0.0,0.0,38100470.55,4.2669,1,1,1.0619,0,0.0001,1,134.33,348.98,9.65,39.87,103.59,2.86,23948,643,46.98,7.02,71.57,25.2,Partly cloudy.
26,Azad Jammu and Kashmir,Pakistan,3/13/2020,13,3,2020,34.027401,73.947253,0,0,0,0,148.38,589.8,15.76,0.0,0.0,0.0,1700.44,222.09,6821.26,0.0,0.0,0.0,4334762.096,2.4574,1,1,1.0619,0,0.0001,1,3.28,14.33,0.35,0.97,4.25,0.11,2009,59,27.0,6.0,58.57,0.0,Overcast.
27,Gilgit-Baltistan,Pakistan,3/13/2020,13,3,2020,35.792146,74.982138,3,0,0,0,1444.2,4839.56,305.27,0.0,0.0,0.0,31771.23,7364.81,112618.3,0.0,0.0,0.0,2227137.68,2.4574,1,1,1.0629,0,0.0023,1,48.4,147.35,10.24,14.37,43.74,3.04,1423,36,48.86,8.29,67.71,25.66,Light rain. Overcast.
28,Balochistan,Pakistan,3/14/2020,14,3,2020,28.328491999999997,65.898403,8,2,0,0,4294.89,12187.45,768.7,0.56,0.31,0.97,71226.44,12584.67,253603.62,0.56,0.31,0.97,13398367.25,2.543,1,1,1.0543,0,0.0059,1,104.88,385.22,16.94,30.87,113.36,4.99,6767,201,33.71,5.29,26.57,0.0,Haze.
29,Islamabad,Pakistan,3/14/2020,14,3,2020,33.665087,73.121219,4,1,0,0,389.67,1007.14,103.45,0.03,0.02,0.06,4710.55,961.7,14407.76,0.03,0.02,0.06,2155173.482,2.952,1,1,1.0583,0,0.0047,1,7.95,36.1,0.56,2.34,10.62,0.17,2567,52,60.0,2.29,10.71,8.55,Clear.
