,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
63,Azad Jammu and Kashmir,Pakistan,2021-01-11 05:21:50,34.027401,73.947253,8489.0,235.0
64,Balochistan,Pakistan,2021-01-11 05:21:50,28.328492,65.898403,18412.0,188.0
65,Gilgit-Baltistan,Pakistan,2021-01-11 05:21:50,35.792146,74.982138,4880.0,101.0
66,Islamabad,Pakistan,2021-01-11 05:21:50,33.665087,73.121219,39242.0,441.0
67,Khyber Pakhtunkhwa,Pakistan,2021-01-11 05:21:50,34.485332,72.09169,61424.0,1740.0
68,Punjab,Pakistan,2021-01-11 05:21:50,30.811346,72.13913199999998,145508.0,4272.0
69,Sindh,Pakistan,2021-01-11 05:21:50,26.009446,68.77680699999999,226338.0,3699.0
70,Azad Jammu and Kashmir,Pakistan,2021-01-12 05:22:15,34.027401,73.947253,8501.0,235.0
71,Balochistan,Pakistan,2021-01-12 05:22:15,28.328492,65.898403,18429.0,188.0
72,Gilgit-Baltistan,Pakistan,2021-01-12 05:22:15,35.792146,74.982138,4882.0,101.0
73,Islamabad,Pakistan,2021-01-12 05:22:15,33.665087,73.121219,39340.0,443.0
74,Khyber Pakhtunkhwa,Pakistan,2021-01-12 05:22:15,34.485332,72.09169,61648.0,1743.0
75,Punjab,Pakistan,2021-01-12 05:22:15,30.811346,72.13913199999998,146016.0,4299.0
76,Sindh,Pakistan,2021-01-12 05:22:15,26.009446,68.77680699999999,227885.0,3708.0
77,Azad Jammu and Kashmir,Pakistan,2021-01-13 05:22:15,34.027401,73.947253,8521.0,235.0
78,Balochistan,Pakistan,2021-01-13 05:22:15,28.328492,65.898403,18467.0,188.0
79,Gilgit-Baltistan,Pakistan,2021-01-13 05:22:15,35.792146,74.982138,4882.0,101.0
80,Islamabad,Pakistan,2021-01-13 05:22:15,33.665087,73.121219,39462.0,447.0
81,Khyber Pakhtunkhwa,Pakistan,2021-01-13 05:22:15,34.485332,72.09169,62018.0,1748.0
82,Punjab,Pakistan,2021-01-13 05:22:15,30.811346,72.13913199999998,146525.0,4323.0
83,Sindh,Pakistan,2021-01-13 05:22:15,26.009446,68.77680699999999,228949.0,3730.0
84,Azad Jammu and Kashmir,Pakistan,2021-01-14 05:22:32,34.027401,73.947253,8540.0,236.0
85,Balochistan,Pakistan,2021-01-14 05:22:32,28.328492,65.898403,18488.0,188.0
86,Gilgit-Baltistan,Pakistan,2021-01-14 05:22:32,35.792146,74.982138,4882.0,101.0
87,Islamabad,Pakistan,2021-01-14 05:22:32,33.665087,73.121219,39624.0,449.0
