Province,Country_Region,Date,Lat,Long_,Confirmed,Deaths,Recovered,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax
Islamabad,Pakistan,2022-01-02,33.665087,73.121219,108720.0,967.0,,7386.18,17777.91,2905.49,2838.76,1720.05,4634.04,1621365.0,875742.4,2453124.0,0.03,0.03,0.03,0.01,0.01,0.02,974.14,971.06,978.01,54.67,54.67,54.67,63904.12,21074.91,156615.7,1557461.0,852898.8,2332956.0,3139.902,1187.756,7645.171,4246.283,1715.664,10132.74,2155173.0,20.7351,1,1,1.1425,0,0.3502,1,47.51,108.78,23.78,8.44,19.86,4.25,8.98,29.4,3.54,3.584032,12.06834,1.277415,5.396498,17.33462,2.26681
Khyber Pakhtunkhwa,Pakistan,2022-01-02,34.485332,72.09169,181430.0,5932.0,,83941.82,343204.8,12338.07,109617.4,52170.59,198515.9,55737803.0,28273319.0,90958673.0,29.06,13.85,52.61,1.57,1.57,1.57,5933.01,5932.38,5934.03,35.1,35.1,35.1,1738322.0,401061.9,5706979.0,53999481.0,27852704.0,86127284.0,31032.48,4292.197,128678.3,52909.34,8043.942,214526.5,38100471.0,52.7466,1,1,1.1429,0,0.2756,1,1130.96,4539.91,299.44,198.74,794.64,53.51,154.96,705.23,19.6,64.40476,295.2508,7.436464,90.55573,409.9824,12.05039
Punjab,Pakistan,2022-01-02,30.811346,72.139132,445228.0,13073.0,,270680.4,717544.2,144345.2,227366.4,116664.9,398729.8,84776884.0,64781492.0,108864129.0,24.88,12.78,43.6,1.43,1.43,1.43,13073.32,13072.71,13074.26,187.6,187.6,187.6,2239053.0,1252217.0,4186928.0,82537831.0,63572430.0,104931039.0,113401.0,60111.73,301634.1,157279.3,84230.36,415910.1,113939260.0,44.0467,1,1,1.1382,0,0.4327,1,1239.51,3323.33,580.13,219.25,625.3,102.82,173.61,512.29,74.1,77.05072,229.7528,32.25382,96.55913,281.2399,42.8288
Sindh,Pakistan,2022-01-02,26.009446,68.776807,482411.0,7673.0,,476718.7,1137725.0,250305.8,89249.45,47347.22,151113.3,56897812.0,42487931.0,77014729.0,15.89,8.44,26.89,1.36,1.36,1.36,7636.1,7635.27,7637.36,385.53,385.53,385.53,2849735.0,1458249.0,6034417.0,54048077.0,40821136.0,70891405.0,195438.7,101039.1,476617.3,281280.0,149266.7,659414.8,49907676.0,29.2039,1,1,1.1291,0,0.4119,1,1942.44,6042.63,845.27,344.57,1068.97,149.1,310.87,1067.88,103.9,130.1249,459.1628,41.76454,180.7463,608.7126,62.14037
Azad Jammu and Kashmir,Pakistan,2021-01-03,34.027401,73.947253,8325.0,226.0,7723.0,3828.62,6647.49,2271.4,2622.17,1316.15,4521.27,1379900.0,1105308.0,1660816.0,16.55,8.29,28.55,1.43,1.43,1.43,226.88,226.49,227.51,22.53,22.53,22.53,0.0,0.0,0.0,1379900.0,1105308.0,1660816.0,0.0,0.0,0.0,3828.622,2271.401,6647.492,4334762.0,6.9408,1,1,1.1441,0,0.4371,1,434.11,676.82,247.82,75.91,118.35,43.33,49.36,93.48,19.84,0.0,0.0,0.0,49.35672,93.47885,19.83718
Balochistan,Pakistan,2021-01-03,28.328492,65.898403,18218.0,185.0,17760.0,7875.66,11499.33,5626.83,5991.83,3282.15,10305.47,5882164.0,3926741.0,7246616.0,16.24,8.9,27.92,0.5,0.5,0.5,184.87,184.73,185.11,22.46,22.46,22.46,0.0,0.0,0.0,5882164.0,3926741.0,7246616.0,0.0,0.0,0.0,7875.657,5626.828,11499.33,13398367.0,15.0463,1,1,1.1341,0,0.2825,1,516.44,889.11,254.33,90.31,155.48,44.47,51.2,99.54,21.92,0.0,0.0,0.0,51.19814,99.54031,21.91642
Gilgit-Baltistan,Pakistan,2021-01-03,35.792146,74.982138,4866.0,101.0,4716.0,169.24,325.16,74.39,1962.12,1015.21,3443.59,1122206.0,640613.5,1507327.0,0.77,0.41,1.33,0.04,0.04,0.04,101.8,101.55,102.19,2.6,2.6,2.6,0.0,0.0,0.0,1122206.0,640613.5,1507327.0,0.0,0.0,0.0,169.2404,74.39381,325.1612,2227138.0,6.9408,1,1,1.1466,0,0.3246,1,40.08,69.65,19.99,7.01,12.18,3.5,2.45,5.35,1.05,0.0,0.0,0.0,2.446296,5.353276,1.046326
Islamabad,Pakistan,2021-01-03,33.665087,73.121219,38146.0,424.0,34940.0,1732.25,3098.04,805.39,1248.42,756.41,2037.99,767951.2,409758.4,1092410.0,7.32,4.43,11.96,2.51,2.51,2.52,428.4,427.06,430.09,140.03,140.03,140.03,0.0,0.0,0.0,767951.2,409758.4,1092410.0,0.0,0.0,0.0,1732.248,805.3872,3098.037,2155173.0,-4.7502,1,1,1.1439,0,0.5298,1,287.9,441.93,139.5,50.34,77.28,24.39,25.5,40.05,11.53,0.0,0.0,0.0,25.49851,40.04601,11.52805
Khyber Pakhtunkhwa,Pakistan,2021-01-03,34.485332,72.09169,59255.0,1672.0,54383.0,72236.7,98042.89,42395.02,30901.24,14708.65,55959.18,22150547.0,13603972.0,26045822.0,174.24,82.92,315.54,9.43,9.43,9.43,1672.55,1672.26,1673.0,273.1,273.1,273.1,0.0,0.0,0.0,22150547.0,13603972.0,26045822.0,0.0,0.0,0.0,72236.7,42395.02,98042.89,38100471.0,16.8716,1,1,1.1443,0,0.3685,1,5489.39,10460.08,2568.98,959.91,1829.11,449.23,461.33,988.91,169.66,0.0,0.0,0.0,461.3278,988.906,169.6592
Punjab,Pakistan,2021-01-03,30.811346,72.139132,140188.0,4109.0,124461.0,121860.0,160888.5,88324.55,71592.05,36736.1,125548.3,36228057.0,29021556.0,44258654.0,487.0,249.88,854.06,28.0,28.0,28.0,4116.48,4116.21,4116.9,689.24,689.24,689.24,0.0,0.0,0.0,36228057.0,29021556.0,44258654.0,0.0,0.0,0.0,121860.0,88324.55,160888.5,113939260.0,8.196,1,1,1.1395,0,0.4141,1,15865.74,24701.97,8769.09,2774.37,4319.52,1533.41,1377.88,2474.01,648.85,0.0,0.0,0.0,1377.885,2474.012,648.8495
Sindh,Pakistan,2021-01-03,26.009446,68.776807,217636.0,3594.0,196677.0,115831.5,148811.5,89016.33,41637.95,22088.7,70500.2,28186537.0,22087802.0,34247769.0,195.39,103.65,330.83,16.72,16.72,16.72,3562.5,3562.15,3563.02,1044.1,1044.1,1044.1,0.0,0.0,0.0,28186537.0,22087802.0,34247769.0,0.0,0.0,0.0,115831.5,89016.33,148811.5,49907676.0,3.7529,1,1,1.1303,0,0.5382,1,7633.92,11082.4,4609.2,1334.91,1937.93,805.99,748.71,1159.29,427.55,0.0,0.0,0.0,748.7127,1159.286,427.5546
Azad Jammu and Kashmir,Pakistan,2022-01-03,34.027401,73.947253,34667.0,746.0,,3901.24,11172.52,1189.56,8644.43,4334.76,14911.07,3776567.0,3085668.0,4684661.0,0.03,0.03,0.03,0.0,0.0,0.01,747.87,746.97,749.34,3.67,3.67,3.67,69158.67,53390.83,98312.86,3707408.0,3032178.0,4584863.0,1689.148,498.6769,4900.631,2212.087,690.9436,6271.887,4334762.0,40.8297,1,1,1.1441,0,0.3746,1,48.25,110.67,20.34,8.47,18.83,3.7,3.54,7.76,1.09,1.420002,3.142611,0.4481628,2.118322,4.613729,0.6427814
Balochistan,Pakistan,2022-01-03,28.328492,65.898403,33644.0,364.0,,3810.36,9149.52,911.52,11840.01,6486.77,20362.18,9820577.0,6713863.0,12284284.0,11.61,6.36,19.95,0.36,0.36,0.36,365.32,364.99,365.76,3.32,3.32,3.32,97674.24,67828.26,140566.3,9722902.0,6640162.0,12157081.0,1240.616,278.8309,3119.91,2569.744,632.6853,6029.615,13398367.0,39.8137,1,1,1.1341,0,0.2565,1,108.64,234.59,43.4,19.14,39.69,7.98,3.86,8.76,0.69,1.179751,2.684986,0.2122558,2.683249,6.076282,0.4818668
Gilgit-Baltistan,Pakistan,2022-01-03,35.792146,74.982138,10429.0,186.0,,591.6,1202.28,278.32,3605.16,1866.73,6324.49,1911795.0,1266270.0,2567809.0,0.02,0.01,0.03,0.0,0.0,0.0,187.07,186.51,187.95,0.03,0.03,0.03,19644.73,11727.03,29857.76,1892150.0,1249612.0,2538973.0,206.8626,96.35102,425.1847,384.7418,181.4209,777.0935,2227138.0,39.1973,1,1,1.1466,0,0.3536,1,0.4,0.93,0.11,0.08,0.19,0.02,0.02,0.04,0.01,0.006671463,0.01261253,0.002602379,0.01355067,0.02559919,0.005466155
Islamabad,Pakistan,2022-01-03,33.665087,73.121219,108755.0,967.0,,7880.83,19818.6,3118.76,2838.79,1720.08,4634.06,1629246.0,881506.7,2470717.0,0.03,0.03,0.03,0.01,0.01,0.02,974.15,971.07,978.03,63.89,63.89,63.89,67282.7,22931.85,163870.1,1561964.0,856223.0,2341365.0,3378.579,1325.309,8693.43,4502.252,1793.367,11125.17,2155173.0,20.7351,1,1,1.1439,0,0.3624,1,59.36,154.9,27.35,10.56,28.36,4.92,11.98,41.38,3.86,4.867004,17.26785,1.44672,7.114457,24.1306,2.391579
Khyber Pakhtunkhwa,Pakistan,2022-01-03,34.485332,72.09169,181469.0,5933.0,,71458.6,280562.5,13470.81,109649.1,52185.69,198573.3,55809262.0,28288051.0,91063452.0,31.7,15.1,57.4,1.72,1.72,1.72,5934.73,5934.09,5935.75,34.53,34.53,34.53,1764995.0,407053.0,5719942.0,54044267.0,27862230.0,86192958.0,26673.13,4742.79,105919.0,44785.47,8701.957,174643.4,38100471.0,52.7466,1,1,1.1443,0,0.272,1,1237.38,4974.34,296.79,217.01,864.35,52.47,159.6,735.65,18.39,66.78477,306.2214,7.030849,92.81843,429.487,11.36215
Punjab,Pakistan,2022-01-03,30.811346,72.139132,445445.0,13074.0,,266973.8,669242.2,150561.8,227392.5,116678.3,398775.6,85043858.0,64931790.0,109162488.0,26.12,13.41,45.78,1.5,1.5,1.5,13074.82,13074.21,13075.77,224.1,224.1,224.1,2351835.0,1319149.0,4512322.0,82692023.0,63659708.0,105102166.0,112781.9,63317.86,285799.8,154191.9,87243.96,383442.3,113939260.0,44.0467,1,1,1.1395,0,0.4277,1,1367.98,3839.31,642.89,242.25,723.76,113.42,198.46,608.53,88.3,88.86807,282.1924,38.44771,109.5878,325.747,49.43231
Sindh,Pakistan,2022-01-03,26.009446,68.776807,482826.0,7673.0,,485757.2,969144.7,277198.0,89264.51,47355.22,151138.8,57383569.0,42822463.0,77646412.0,15.06,8.0,25.48,1.29,1.29,1.29,7637.39,7636.56,7638.65,438.67,438.67,438.67,3050781.0,1583381.0,6370799.0,54332788.0,41036871.0,71253470.0,201046.1,113218.0,412581.1,284711.0,163437.0,556563.6,49907676.0,29.2039,1,1,1.1303,0,0.4104,1,2214.24,6903.05,907.29,393.45,1220.53,159.0,361.48,1149.21,116.54,152.6041,496.045,47.79008,208.8743,653.1681,68.75232
Azad Jammu and Kashmir,Pakistan,2021-01-04,34.027401,73.947253,8357.0,226.0,7758.0,4013.96,6280.44,2459.8,2641.2,1325.69,4554.1,1383914.0,1108225.0,1665605.0,19.02,9.53,32.82,1.65,1.64,1.65,228.53,228.14,229.16,22.39,22.39,22.39,0.0,0.0,0.0,1383914.0,1108225.0,1665605.0,0.0,0.0,0.0,4013.958,2459.798,6280.438,4334762.0,6.9252,1,1,1.1455,0,0.4333,1,457.32,740.23,251.45,79.72,129.04,43.84,54.2,106.26,20.98,0.0,0.0,0.0,54.19902,106.2625,20.9807
Balochistan,Pakistan,2021-01-04,28.328492,65.898403,18247.0,185.0,17812.0,7757.94,11309.56,4877.85,6005.75,3289.78,10329.41,5889922.0,3933252.0,7256645.0,13.92,7.63,23.94,0.43,0.43,0.43,185.3,185.16,185.54,21.32,21.32,21.32,0.0,0.0,0.0,5889922.0,3933252.0,7256645.0,0.0,0.0,0.0,7757.94,4877.851,11309.56,13398367.0,14.4439,1,1,1.1354,0,0.2814,1,524.68,901.44,256.76,91.47,157.15,44.76,52.14,96.67,21.67,0.0,0.0,0.0,52.14364,96.67273,21.67463
Gilgit-Baltistan,Pakistan,2021-01-04,35.792146,74.982138,4867.0,101.0,4716.0,207.32,396.32,85.47,1962.89,1015.62,3444.92,1122413.0,640768.9,1507642.0,0.77,0.41,1.33,0.04,0.04,0.04,101.84,101.59,102.23,2.82,2.82,2.82,0.0,0.0,0.0,1122413.0,640768.9,1507642.0,0.0,0.0,0.0,207.3231,85.46663,396.324,2227138.0,6.9252,1,1,1.148,0,0.3252,1,38.29,66.38,19.25,6.68,11.57,3.36,2.6,5.42,1.11,0.0,0.0,0.0,2.600273,5.418146,1.112315
Islamabad,Pakistan,2021-01-04,33.665087,73.121219,38263.0,428.0,35093.0,1557.11,2787.74,774.4,1255.74,760.83,2049.95,769508.4,410533.7,1094602.0,7.32,4.43,11.96,2.51,2.51,2.52,430.92,429.57,432.61,138.53,138.53,138.53,0.0,0.0,0.0,769508.4,410533.7,1094602.0,0.0,0.0,0.0,1557.11,774.4025,2787.74,2155173.0,-4.7732,1,1,1.1453,0,0.5293,1,280.94,424.8,138.45,48.98,74.06,24.14,24.13,36.62,10.94,0.0,0.0,0.0,24.12587,36.62142,10.94029
Khyber Pakhtunkhwa,Pakistan,2021-01-04,34.485332,72.09169,59484.0,1675.0,54519.0,70835.41,98884.62,41875.79,31066.24,14787.18,56257.99,22221382.0,13652891.0,26135924.0,165.0,78.53,298.81,8.93,8.93,8.93,1681.48,1681.19,1681.93,263.24,263.24,263.24,0.0,0.0,0.0,22221382.0,13652891.0,26135924.0,0.0,0.0,0.0,70835.41,41875.79,98884.62,38100471.0,17.24,1,1,1.1457,0,0.3671,1,5368.67,10321.64,2526.96,935.93,1799.38,440.53,456.31,975.37,161.54,0.0,0.0,0.0,456.3127,975.3735,161.5441
Punjab,Pakistan,2021-01-04,30.811346,72.139132,140714.0,4124.0,125129.0,119805.9,161252.1,87180.61,72050.48,36971.32,126352.2,36347863.0,29123438.0,44400837.0,458.43,235.22,803.95,26.36,26.36,26.36,4142.84,4142.57,4143.26,699.24,699.24,699.24,0.0,0.0,0.0,36347863.0,29123438.0,44400837.0,0.0,0.0,0.0,119805.9,87180.61,161252.1,113939260.0,8.1716,1,1,1.1409,0,0.4107,1,15865.8,24806.1,8767.15,2765.9,4324.47,1528.39,1379.68,2485.59,654.61,0.0,0.0,0.0,1379.681,2485.586,654.6136
Sindh,Pakistan,2021-01-04,26.009446,68.776807,218597.0,3611.0,197430.0,111921.9,146236.4,86331.46,41830.0,22190.57,70825.37,28298459.0,22174616.0,34384991.0,192.05,101.88,325.18,16.43,16.43,16.43,3578.93,3578.58,3579.46,1044.96,1044.96,1044.96,0.0,0.0,0.0,28298459.0,22174616.0,34384991.0,0.0,0.0,0.0,111921.9,86331.46,146236.4,49907676.0,3.7238,1,1,1.1316,0,0.5378,1,7664.98,11098.53,4651.35,1336.24,1934.82,810.88,757.76,1182.22,443.06,0.0,0.0,0.0,757.7644,1182.223,443.0572
Azad Jammu and Kashmir,Pakistan,2022-01-04,34.027401,73.947253,34672.0,746.0,,4830.35,11136.91,1370.13,8645.28,4335.2,14912.52,3781397.0,3088729.0,4689822.0,0.86,0.44,1.46,0.07,0.07,0.08,747.94,747.04,749.41,4.53,4.53,4.53,71272.12,54298.93,100451.5,3710125.0,3033946.0,4587736.0,2113.444,584.942,4935.793,2716.903,785.0967,6201.118,4334762.0,40.8297,1,1,1.1455,0,0.3761,1,44.31,95.07,20.24,7.81,16.21,3.68,4.09,10.78,0.56,1.651735,4.257842,0.2217452,2.439174,6.501597,0.3366719
Balochistan,Pakistan,2022-01-04,28.328492,65.898403,33648.0,365.0,,5173.67,12165.44,1291.75,11849.3,6491.87,20378.15,9825750.0,6715821.0,12288040.0,9.29,5.1,15.97,0.29,0.29,0.29,365.6,365.28,366.05,2.96,2.96,2.96,99396.87,68758.18,143704.0,9726353.0,6641524.0,12159666.0,1722.629,401.5445,4218.189,3451.036,890.2098,7947.255,13398367.0,39.8137,1,1,1.1354,0,0.255,1,102.91,196.67,44.45,18.2,35.01,8.28,3.46,7.77,0.64,1.064398,2.396748,0.1981886,2.397713,5.37133,0.4462552
Gilgit-Baltistan,Pakistan,2022-01-04,35.792146,74.982138,10429.0,186.0,,716.38,1495.67,327.84,3605.18,1866.74,6324.5,1912511.0,1267006.0,2568531.0,0.01,0.01,0.02,0.0,0.0,0.0,187.07,186.51,187.95,0.03,0.03,0.03,19897.82,11885.84,30207.27,1892613.0,1250090.0,2539440.0,253.0927,115.1207,533.444,463.292,212.5567,962.2313,2227138.0,39.1973,1,1,1.148,0,0.3527,1,0.39,0.87,0.1,0.08,0.18,0.02,0.02,0.04,0.01,0.006657535,0.0125958,0.002607615,0.01340466,0.02540263,0.005422965
Islamabad,Pakistan,2022-01-04,33.665087,73.121219,108823.0,967.0,,9227.89,23235.18,3118.66,2838.82,1720.11,4634.1,1638474.0,888899.8,2492813.0,0.03,0.03,0.03,0.01,0.01,0.02,974.16,971.08,978.05,69.74,69.74,69.74,71274.97,25245.79,170172.9,1567199.0,860456.3,2351548.0,3992.267,1334.334,10204.5,5235.617,1828.669,13030.69,2155173.0,20.7351,1,1,1.1453,0,0.3772,1,73.88,205.67,31.86,13.19,37.74,5.68,14.7,46.09,4.43,6.062118,19.40826,1.648366,8.642607,26.68317,2.763918
Khyber Pakhtunkhwa,Pakistan,2022-01-04,34.485332,72.09169,181498.0,5933.0,,66138.94,176185.7,16124.16,109680.8,52200.8,198630.7,55875401.0,28304490.0,91138131.0,31.7,15.1,57.4,1.72,1.72,1.72,5936.45,5935.81,5937.47,36.82,36.82,36.82,1789881.0,413944.7,5750000.0,54085520.0,27872795.0,86239484.0,24886.24,5766.336,66856.19,41252.7,10282.55,109329.5,38100471.0,52.7466,1,1,1.1457,0,0.271,1,1331.69,5350.9,291.08,234.0,927.91,51.62,156.28,715.19,17.99,65.80348,299.2347,6.951052,90.47422,415.9595,11.03914
Punjab,Pakistan,2022-01-04,30.811346,72.139132,445630.0,13075.0,,274193.1,468284.3,166857.2,227414.9,116689.9,398814.8,85318051.0,65098363.0,109445250.0,22.39,11.5,39.25,1.29,1.29,1.29,13076.11,13075.5,13077.06,262.46,262.46,262.46,2468670.0,1393824.0,4651807.0,82849381.0,63755821.0,105263228.0,116835.6,70816.82,201114.4,157357.6,95758.71,267169.9,113939260.0,44.0467,1,1,1.1409,0,0.4194,1,1538.15,4500.55,730.56,273.38,823.62,125.91,230.8,721.6,101.49,104.3035,337.4035,45.15395,126.5004,384.1926,56.33953
Sindh,Pakistan,2022-01-04,26.009446,68.776807,483165.0,7673.0,,503788.7,799175.3,307899.1,89277.9,47362.34,151161.5,57887358.0,43193335.0,78327675.0,13.39,7.12,22.65,1.15,1.14,1.15,7638.53,7637.7,7639.79,503.53,503.53,503.53,3261380.0,1722706.0,6691186.0,54625978.0,41279142.0,71640788.0,210598.6,128353.2,344350.3,293190.1,179297.4,454825.1,49907676.0,29.2039,1,1,1.1316,0,0.4111,1,2549.9,8077.89,987.8,454.66,1432.07,170.17,422.27,1434.37,130.82,179.8076,626.376,54.14049,242.4597,807.9913,76.67792
Azad Jammu and Kashmir,Pakistan,2021-01-05,34.027401,73.947253,8383.0,229.0,7798.0,4325.34,6623.76,2612.2,2660.22,1335.22,4586.92,1388239.0,1111488.0,1671228.0,19.02,9.53,32.82,1.65,1.64,1.65,230.17,229.78,230.81,21.53,21.53,21.53,0.0,0.0,0.0,1388239.0,1111488.0,1671228.0,0.0,0.0,0.0,4325.345,2612.204,6623.764,4334762.0,6.7932,1,1,1.1469,0,0.4295,1,484.87,805.76,261.73,84.73,140.8,45.74,57.36,112.15,21.54,0.0,0.0,0.0,57.35571,112.1538,21.53948
