Province,Country_Region,Date,Lat,Long_,Confirmed,Deaths,Recovered,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax,Temp,Wind,Barometer,Visibility,Weather
Khyber Pakhtunkhwa,Pakistan,2/15/2021,34.485332,72.09169,69990,1995,65646,49595.43,71981.92,26446.75,36944.29,17584.84,66902.92,24209336,14929656,28753503,104.29,49.64,188.86,5.64,5.64,5.65,1999.63,1999.3,2000.15,190.24,190.24,190.24,0,0,0,24209336,14929656,28753503,0,0,0,49595.43,26446.75,71981.92,38100471,13.9604,1,1,1.1282,0,0.3791,1,3885.72,7437.68,1802.47,763.32,1461.08,354.08,331.05,726.04,114.23,0,0,0,331.0496,726.0437,114.2297,56.73,2.84,25.91,17.04,Haze.
Punjab,Pakistan,2/15/2021,30.811346,72.139132,164268,5051,151896,137846.6,191966.2,92875.5,88284.5,45301.16,154821.7,41058200,33092695,49801467,407.5,209.09,714.62,23.43,23.43,23.43,5076.28,5075.97,5076.76,478.03,478.03,478.03,0,0,0,41058200,33092695,49801467,0,0,0,137846.6,92875.5,191966.2,113939260,11.8584,1,1,1.124,0,0.4913,1,14487.41,23503.42,8038.94,2845.95,4617.08,1579.19,1365.99,2544.97,597.95,0,0,0,1365.993,2544.968,597.9522,59.38,0.88,8.27,4.98,Clear.
Sindh,Pakistan,2/15/2021,26.009446,68.776807,253762,4219,235470,29413.64,43910.34,21181.43,48971.01,25978.8,82916.4,31336138,24236608,38355449,146.97,77.97,248.84,12.57,12.57,12.58,4189.9,4189.5,4190.52,335.89,335.89,335.89,0,0,0,31336138,24236608,38355449,0,0,0,29413.64,21181.43,43910.34,49907676,5.5672,1,1,1.1158,0,0.5228,1,4495.64,7014.72,2745.46,883.14,1377.99,539.33,402.64,732.35,175.28,0,0,0,402.6427,732.3504,175.2844,53.14,2.71,14.14,8.54,Clear.
Azad Jammu and Kashmir,Pakistan,2/16/2021,34.027401,73.947253,9487,281,8725,5982.2,7525.67,4560.6,3282.51,1647.2,5660.43,1602245,1284643,1933449,9.11,4.58,15.71,0.79,0.79,0.79,284.01,283.56,284.74,44.6,44.6,44.6,0,0,0,1602245,1284643,1933449,0,0,0,5982.2,4560.597,7525.67,4334762,9.9861,1,1,1.1258,0,0.4438,1,815.16,1271.56,463.42,160.56,250.45,91.28,76.74,129.07,39.68,0,0,0,76.7428,129.0735,39.67778,28,1.57,30.71,0,Sunny.
Balochistan,Pakistan,2/16/2021,28.328492,65.898403,18942,199,18655,2118.7,3481.99,398.23,6456.24,3536.84,11103.76,6037670,4051174,7441044,6.98,3.83,11.98,0.22,0.21,0.22,199.2,199.04,199.47,7.1,7.1,7.1,0,0,0,6037670,4051174,7441044,0,0,0,2118.702,398.2311,3481.985,13398367,6.0687,1,1,1.1171,0,0.2718,1,205.29,396.19,93.02,40.44,78.03,18.32,16.33,37,5.23,0,0,0,16.33483,37.00419,5.226498,16.29,3.29,2.29,0,Sunny.
Gilgit-Baltistan,Pakistan,2/16/2021,35.792146,74.982138,4940,102,4805,64.09,129.51,30.56,1986.5,1028.41,3485.46,1133567,648227.1,1520325,0.42,0.23,0.72,0.02,0.02,0.02,103.08,102.79,103.52,2.32,2.32,2.32,0,0,0,1133567,648227.1,1520325,0,0,0,64.08792,30.55722,129.5105,2227138,9.9861,1,1,1.128,0,0.3755,1,33.57,63.25,15.28,6.61,12.46,3.01,2.5,4.99,1.01,0,0,0,2.502933,4.985027,1.007769,16,0.71,9,4.28,Sunny.
Islamabad,Pakistan,2/16/2021,33.665087,73.121219,42688,486,40800,2945.05,4723.83,1146.31,1427.6,865.01,2330.41,843501.9,443984.8,1200441,1.9,1.16,3.1,0.65,0.65,0.66,489.89,488.34,491.84,108.1,108.1,108.1,0,0,0,843501.9,443984.8,1200441,0,0,0,2945.05,1146.311,4723.833,2155173,0.3869,1,1,1.1257,0,0.4583,1,176.96,272.39,93.24,34.86,53.65,18.36,18.65,30.02,8.37,0,0,0,18.64749,30.02192,8.372596,41.43,1.71,16.14,12.79,Scattered clouds.
Khyber Pakhtunkhwa,Pakistan,2/16/2021,34.485332,72.09169,69990,1995,65646,51205.4,74456.44,27805.24,37051.22,17635.74,67096.56,24260541,14955359,28816984,106.93,50.9,193.64,5.79,5.79,5.79,2005.42,2005.09,2005.94,189.96,189.96,189.96,0,0,0,24260541,14955359,28816984,0,0,0,51205.4,27805.24,74456.44,38100471,14.5558,1,1,1.126,0,0.3828,1,3843.59,7349.54,1768.38,757.05,1447.61,348.31,326.26,713.37,114.09,0,0,0,326.2607,713.373,114.0867,48.39,3.41,32.07,20.41,Haze.
Punjab,Pakistan,2/16/2021,30.811346,72.139132,164268,5051,151896,141479.8,189480.5,96287.19,88695.72,45512.17,155542.9,41199680,33188462,49987109,411.22,211,721.16,23.64,23.64,23.65,5099.92,5099.61,5100.4,484.1,484.1,484.1,0,0,0,41199680,33188462,49987109,0,0,0,141479.8,96287.19,189480.5,113939260,12.2787,1,1,1.1219,0,0.4829,1,14799.08,24025.05,8187.19,2914.91,4732.11,1612.6,1407.99,2612.75,607.02,0,0,0,1407.993,2612.754,607.0154,60.92,0.25,1.54,1.24,Fog.
Sindh,Pakistan,2/16/2021,26.009446,68.776807,253762,4219,235470,27861.91,38158.68,20392.2,49105.45,26050.12,83144.03,31364000,24257023,38389907,134.44,71.32,227.63,11.5,11.5,11.5,4201.4,4201,4202.02,332.89,332.89,332.89,0,0,0,31364000,24257023,38389907,0,0,0,27861.91,20392.2,38158.68,49907676,6.0154,1,1,1.1138,0,0.5263,1,4540.6,7189.84,2782.2,894.34,1416.15,548,412.13,731.51,176.78,0,0,0,412.1331,731.514,176.783,41.43,1.71,16.14,12.79,Scattered clouds.
Azad Jammu and Kashmir,Pakistan,2/17/2021,34.027401,73.947253,9562,284,8791,6049.02,7940.85,4640.12,3292.46,1652.19,5677.57,1608294,1289500,1941135,9.94,4.99,17.14,0.86,0.86,0.86,284.87,284.42,285.6,45.67,45.67,45.67,0.004277811,0.003218865,0.005639283,1608294,1289500,1941135,0.004277811,0.003218865,0.005639283,6049.015,4640.112,7940.845,4334762,10.3606,1,1,1.1237,0,0.4439,1,828.02,1280.86,458.88,163.57,253.02,90.65,74.98,124.38,35.43,0,0,0,74.97768,124.3802,35.42529,,,,,
Balochistan,Pakistan,2/17/2021,28.328492,65.898403,18954,199,18667,2063.85,3514.66,427.72,6458.58,3538.13,11107.78,6039734,4052540,7443011,2.35,1.3,4.01,0.07,0.07,0.07,199.27,199.11,199.54,7.03,7.03,7.03,0.001192913,0.0002455786,0.002019658,6039734,4052540,7443011,0.001192913,0.0002455786,0.002019658,2063.849,427.7229,3514.659,13398367,6.5407,1,1,1.1151,0,0.2726,1,200.74,377.8,97.65,39.65,74.63,19.29,15.36,33.56,2.26,0,0,0,15.36217,33.5625,2.263721,,,,,
Gilgit-Baltistan,Pakistan,2/17/2021,35.792146,74.982138,4943,102,4812,53.03,106.76,29.18,1986.92,1028.64,3486.18,1133620,648257.9,1520384,0.42,0.23,0.72,0.02,0.02,0.02,103.1,102.81,103.55,1.87,1.87,1.87,2.92E-05,1.65E-05,5.90E-05,1133620,648257.9,1520384,2.92E-05,1.65E-05,5.90E-05,53.02553,29.18364,106.7558,2227138,10.3606,1,1,1.1258,0,0.3781,1,33.03,60.67,15.44,6.53,11.98,3.05,2.08,4.13,0.85,0,0,0,2.079523,4.128352,0.8477628,,,,,
Islamabad,Pakistan,2/17/2021,33.665087,73.121219,42921,486,40923,3012.89,4971.91,1242.73,1429.08,865.92,2332.83,846514.8,445252.3,1204651,1.49,0.91,2.42,0.51,0.51,0.52,490.4,488.85,492.36,112.96,112.96,112.96,0.002051206,0.0008502734,0.003378586,846514.8,445252.3,1204651,0.002051206,0.0008502734,0.003378586,3012.884,1242.725,4971.903,2155173,0.3117,1,1,1.1235,0,0.4558,1,182.86,279.39,97.03,36.12,55.19,19.17,18.95,28.46,8.64,0,0,0,18.95165,28.46348,8.644758,52.43,1.57,26.71,12.8,Clear.
Khyber Pakhtunkhwa,Pakistan,2/17/2021,34.485332,72.09169,70123,2007,65984,52200.19,73864.77,28745.64,37159.46,17687.26,67292.58,24312741,14981977,28884702,108.25,51.52,196.03,5.86,5.86,5.86,2011.28,2010.95,2011.8,188.14,188.14,188.14,0.03111311,0.01708467,0.04427654,24312741,14981977,28884702,0.03111311,0.01708467,0.04427654,52200.16,28745.62,73864.73,38100471,15.081,1,1,1.1238,0,0.384,1,3801.2,7231.72,1737.14,750.89,1428.55,343.15,318.52,688.1,110.71,0,0,0,318.5171,688.0954,110.7108,55.11,3.95,31.93,23.14,Haze.
Punjab,Pakistan,2/17/2021,30.811346,72.139132,165200,5114,152869,144717.1,191317.5,99735.67,89100.73,45719.98,156253.1,41344397,33287858,50177667,405.01,207.81,710.27,23.29,23.29,23.29,5123.21,5122.9,5123.69,494.46,494.46,494.46,0.09871101,0.06825491,0.1325608,41344397,33287858,50177666,0.09871101,0.06825491,0.1325608,144717,99735.6,191317.3,113939260,12.6512,1,1,1.1197,0,0.474,1,15156.26,24674.98,8339.17,2993.96,4874.27,1647.31,1451.97,2724.24,621.67,0,0,0,1451.973,2724.243,621.6725,,,,,
Sindh,Pakistan,2/17/2021,26.009446,68.776807,254286,4244,236499,26605.71,35731.79,19886.68,49233.22,26117.9,83360.36,31390606,24276329,38423523,127.76,67.78,216.32,10.93,10.93,10.93,4212.34,4211.93,4212.96,333.1,333.1,333.1,0.01687178,0.01256851,0.02238027,31390606,24276329,38423523,0.01687178,0.01256851,0.02238027,26605.7,19886.67,35731.77,49907676,6.3951,1,1,1.1119,0,0.5307,1,4574.21,7329.21,2763.97,903.59,1447.81,545.99,418.86,739.71,177.57,0,0,0,418.8567,739.7082,177.5657,52.43,1.57,26.71,12.8,Clear.
Azad Jammu and Kashmir,Pakistan,2/18/2021,34.027401,73.947253,9629,284,8831,6218.3,8402.19,4571.71,3304.05,1658.01,5697.56,1614512,1294605,1948701,11.59,5.81,19.99,1,1,1.01,285.87,285.42,286.61,47.89,47.89,47.89,0.02111457,0.01564007,0.02839333,1614512,1294605,1948701,0.01683676,0.01237729,0.0228295,6218.278,4571.693,8402.168,4334762,10.696,1,1,1.1215,0,0.4438,1,838.07,1298.56,457.81,165.85,256.97,90.6,74.46,129.44,34.82,0,0,0,74.45646,129.4423,34.8178,6.57,0.29,7.43,0,Clear.
Balochistan,Pakistan,2/18/2021,28.328492,65.898403,18958,199,18668,2161.68,3418.56,470.73,6458.61,3538.16,11107.81,6041896,4053799,7445257,0.03,0.03,0.03,0,0,0,199.27,199.11,199.54,6.89,6.89,6.89,0.005973749,0.001305674,0.009490534,6041896,4053799,7445257,0.004780836,0.001036022,0.007470353,2161.672,470.7306,3418.549,13398367,7.0072,1,1,1.1131,0,0.2735,1,200.17,368.71,103.85,39.61,72.96,20.55,17.15,41.37,2.68,0,0,0,17.15422,41.37193,2.678042,28.57,4.71,7.71,0,Clear.
Gilgit-Baltistan,Pakistan,2/18/2021,35.792146,74.982138,4945,102,4813,44.81,88.1,26.26,1987.34,1028.87,3486.9,1133665,648284.1,1520427,0.42,0.23,0.72,0.02,0.02,0.02,103.12,102.83,103.57,1.73,1.73,1.73,0.0001254833,7.39E-05,0.0002457309,1133665,648284.1,1520427,9.62E-05,5.61E-05,0.0001866827,44.81213,26.2599,88.09879,2227138,10.696,1,1,1.1236,0,0.3808,1,32.31,58.34,15.5,6.39,11.54,3.07,1.95,3.86,0.8,0,0,0,1.947174,3.857447,0.7976463,8.29,0,0,0,Clear.
Islamabad,Pakistan,2/18/2021,33.665087,73.121219,43029,487,41030,3141.8,5331.36,1349.11,1430.99,867.08,2335.92,849656.6,446621.7,1209137,1.9,1.16,3.1,0.65,0.65,0.66,491.06,489.49,493.02,114.96,114.96,114.96,0.01020127,0.004328929,0.01729159,849656.6,446621.7,1209137,0.008150066,0.003472489,0.013913,3141.791,1349.104,5331.343,2155173,0.2488,1,1,1.1213,0,0.4596,1,188.93,288.85,99.92,37.39,57.16,19.77,19.94,32.63,8.99,0,0,0,19.943,32.63418,8.993958,9.57,0,0,0,Clear.
Khyber Pakhtunkhwa,Pakistan,2/18/2021,34.485332,72.09169,70306,2015,66240,52762.59,73724.41,29008.28,37267.71,17738.79,67488.61,24365504,15009010,28955924,108.25,51.52,196.03,5.86,5.86,5.86,2017.13,2016.81,2017.66,183.42,183.42,183.42,0.1516904,0.08280165,0.2137052,24365504,15009010,28955924,0.1205773,0.06571698,0.1697043,52762.47,29008.22,73724.24,38100471,15.5363,1,1,1.1216,0,0.3866,1,3749.26,7097.79,1702.43,741.94,1404.58,336.89,310.58,664.07,106.54,0,0,0,310.577,664.0712,106.5447,50.23,2.39,17.3,14.3,Haze.
Punjab,Pakistan,2/18/2021,30.811346,72.139132,165716,5138,153644,147448.6,191733.8,104242.6,89503.26,45926.52,156959.1,41491846,33392243,50369368,402.53,206.54,705.91,23.14,23.14,23.15,5146.35,5146.04,5146.84,504.53,504.53,504.53,0.4841787,0.3411129,0.6285049,41491845,33392243,50369367,0.3854677,0.2725576,0.4992953,147448.2,104242.3,191733.3,113939260,12.9951,1,1,1.1176,0,0.4642,1,15529.99,25356.98,8514.48,3073.22,5017.88,1684.93,1479.02,2787.36,627.57,0,0,0,1479.016,2787.362,627.5664,55.35,1.33,12.52,7.49,Clear.
Sindh,Pakistan,2/18/2021,26.009446,68.776807,254678,4263,237371,25711.27,34438.06,19221.86,49357.64,26183.91,83571.02,31416317,24295244,38457300,124.42,66.01,210.67,10.65,10.64,10.65,4222.98,4222.58,4223.6,341.53,341.53,341.53,0.07917881,0.05896887,0.1055287,31416317,24295244,38457299,0.06230703,0.04658078,0.0846064,25711.21,19221.82,34437.98,49907676,6.7172,1,1,1.1099,0,0.5349,1,4586.19,7384.88,2713.76,907.56,1461.39,537.03,419.74,721.12,180.67,0,0,0,419.7389,721.1204,180.6696,9.57,0,0,0,Clear.
Azad Jammu and Kashmir,Pakistan,2/19/2021,34.027401,73.947253,9673,285,8865,6449.06,8868.73,5030.04,3316.47,1664.23,5718.98,1620961,1299907,1956048,12.42,6.23,21.42,1.07,1.07,1.08,286.95,286.49,287.69,49.1,49.1,49.1,0.05608062,0.04384781,0.07641901,1620961,1299907,1956048,0.03496605,0.02722048,0.04804276,6449.023,5030.009,8868.676,4334762,11.0078,1,1,1.1204,0,0.4436,1,845.97,1299.12,454.13,167.5,257.22,89.92,73.85,133.33,35.93,0,0,0,73.85093,133.3343,35.9257,27.71,0.71,6.43,0,Clear.
Balochistan,Pakistan,2/19/2021,28.328492,65.898403,18967,199,18675,2369.62,4252.22,245.83,6458.64,3538.19,11107.84,6044266,4054940,7448186,0.03,0.03,0.03,0,0,0,199.28,199.11,199.54,6.67,6.67,6.67,0.01647319,0.004825241,0.02660405,6044265,4054940,7448186,0.01049944,0.001089186,0.01912204,2369.613,245.8286,4252.197,13398367,7.4824,1,1,1.1121,0,0.2745,1,208.41,394.46,112.27,41.26,78.1,22.23,21.92,51.55,8.34,0,0,0,21.92063,51.5488,8.339656,5.14,0,0,0,Sunny.
Gilgit-Baltistan,Pakistan,2/19/2021,35.792146,74.982138,4947,102,4816,39.63,66.23,24.53,1987.77,1029.1,3487.62,1133705,648307.9,1520461,0.42,0.23,0.72,0.02,0.02,0.02,103.14,102.85,103.59,1.76,1.76,1.76,0.0002977495,0.0001771374,0.0005288844,1133705,648307.9,1520461,0.0001722663,0.0001072887,0.0002831536,39.63025,24.52545,66.23407,2227138,11.0078,1,1,1.1224,0,0.3836,1,31.59,56.06,15.55,6.25,11.1,3.08,1.98,3.93,0.81,0,0,0,1.983991,3.925367,0.8108243,14.71,0,0,0,Clear.
Islamabad,Pakistan,2/19/2021,33.665087,73.121219,43145,488,41139,3312.71,5685.24,1430.7,1433.72,868.74,2340.39,852969.3,448074.5,1213978,2.74,1.66,4.46,0.94,0.93,0.95,492,490.43,493.96,115.17,115.17,115.17,0.02737983,0.01173336,0.04697954,852969.3,448074.5,1213978,0.01717856,0.00739465,0.02952757,3312.689,1430.694,5685.211,2155173,0.1756,1,1,1.1202,0,0.46,1,195.08,301.01,102.52,38.63,59.6,20.3,20.94,34.99,9.56,0,0,0,20.93541,34.99018,9.561995,33.29,0,0,0,Sunny.
Khyber Pakhtunkhwa,Pakistan,2/19/2021,34.485332,72.09169,70493,2020,66391,53082.81,74194.28,29003.77,37378.6,17791.57,67689.42,24418587,15036145,29028442,110.89,52.78,200.81,6,6,6,2023.14,2022.81,2023.66,180.39,180.39,180.39,0.3946985,0.2145816,0.5552626,24418586,15036145,29028441,0.2430081,0.13178,0.3422253,53082.57,29003.64,74193.94,38100471,15.9363,1,1,1.1205,0,0.3873,1,3689.09,6976.04,1668.52,730.44,1381.25,330.37,307.12,664.56,105.35,0,0,0,307.1243,664.5576,105.3548,53,2.5,22.91,15.04,Haze.
Punjab,Pakistan,2/19/2021,30.811346,72.139132,166242,5166,153924,149139.4,192816.3,107652.4,89888.39,46124.14,157634.5,41640985,33500095,50559690,385.13,197.62,675.41,22.14,22.14,22.15,5168.5,5168.19,5168.98,514.53,514.53,514.53,1.264597,0.903245,1.636076,41640984,33500094,50559688,0.7804181,0.5621321,1.01461,149138.6,107651.9,192815.3,113939260,13.3264,1,1,1.1166,0,0.4558,1,15871.85,25860.54,8706.81,3142.61,5120.35,1723.94,1479,2850.16,627.69,0,0,0,1479,2850.164,627.6936,59.56,0.83,9.48,5,Clear.
Sindh,Pakistan,2/19/2021,26.009446,68.776807,255039,4267,238030,24917.14,34687.82,18157.39,49474.55,26245.94,83768.97,31441234,24313827,38490993,116.91,62.02,197.94,10,10,10,4232.98,4232.58,4233.61,349.1,349.1,349.1,0.2000894,0.1490492,0.2754366,31441234,24313827,38490993,0.1209106,0.08760906,0.1686402,24917.02,18157.3,34687.65,49907676,6.991,1,1,1.1089,0,0.54,1,4567.24,7342.36,2645.38,904.31,1453.78,523.78,408.4,719.28,183.87,0,0,0,408.4011,719.2791,183.8722,33.29,0,0,0,Sunny.
Azad Jammu and Kashmir,Pakistan,2/20/2021,34.027401,73.947253,9718,286,8899,6657.61,9140.73,5228.29,3330.53,1671.29,5743.25,1627619,1305282,1963437,14.07,7.05,24.27,1.22,1.22,1.22,288.16,287.71,288.91,52.82,52.82,52.82,0.1102781,0.08657201,0.1490627,1627619,1305282,1963436,0.05419749,0.04251356,0.07446827,6657.557,5228.244,9140.653,4334762,11.3051,1,1,1.1191,0,0.4432,1,853.72,1299.44,450.31,168.77,256.88,89.02,74.78,137.83,38.5,0,0,0,74.7821,137.8257,38.49675,23.71,0.29,5.14,0,Sunny.
Balochistan,Pakistan,2/20/2021,28.328492,65.898403,18972,199,18689,2745.5,5920.36,686.19,6458.67,3538.22,11107.87,6047011,4056091,7451569,0.03,0.03,0.03,0,0,0,199.28,199.11,199.55,6.96,6.96,6.96,0.03474267,0.01124342,0.06638481,6047011,4056091,7451569,0.01826948,0.004529977,0.03961831,2745.48,686.1855,5920.321,13398367,7.9731,1,1,1.1108,0,0.2756,1,223.56,395.13,122.16,44.2,78.11,24.15,25.37,51.8,10.86,0,0,0,25.37218,51.79536,10.85839,27.43,3.29,6.57,0,Haze.
Gilgit-Baltistan,Pakistan,2/20/2021,35.792146,74.982138,4951,102,4821,38.16,55.32,24.14,1988.19,1029.34,3488.34,1133743,648331.6,1520494,0.42,0.23,0.72,0.02,0.02,0.02,103.16,102.87,103.62,1.69,1.69,1.69,0.0005478515,0.0003398006,0.0008771208,1133743,648331.6,1520494,0.000250102,0.0001581497,0.0003621432,38.15506,24.14111,55.31682,2227138,11.3051,1,1,1.1211,0,0.3865,1,30.75,53.51,15.27,6.08,10.58,3.02,1.91,3.78,0.78,0,0,0,1.909889,3.77732,0.7761223,20.29,1.43,9.71,8.6,Haze.
Islamabad,Pakistan,2/20/2021,33.665087,73.121219,43282,488,41203,3462.24,5762.19,1533.16,1436.88,870.66,2345.53,856431.5,449642.2,1219060,3.15,1.91,5.14,1.08,1.08,1.09,493.08,491.51,495.05,117.67,117.67,117.67,0.05436636,0.02364145,0.09046641,856431.5,449642.1,1219060,0.02698653,0.01187785,0.0450654,3462.21,1533.149,5762.144,2155173,0.0795,1,1,1.1189,0,0.4565,1,202.98,313.92,105.57,40.13,62.06,20.87,21.97,39.6,9.45,0,0,0,21.97352,39.60225,9.453293,35.14,3.29,10.71,12.87,Sunny.
Khyber Pakhtunkhwa,Pakistan,2/20/2021,34.485332,72.09169,70716,2027,66524,53253.21,74187.04,29165.83,37492.13,17845.61,67895.01,24471840,15063377,29100229,113.53,54.04,205.59,6.14,6.14,6.15,2029.28,2028.95,2029.81,172.89,172.89,172.89,0.7611899,0.4136706,1.069245,24471839,15063377,29100228,0.3664914,0.199089,0.5147278,53252.84,29165.63,74186.53,38100471,16.2996,1,1,1.1192,0,0.386,1,3636.32,6901.72,1645.59,718.85,1364.38,325.31,300.55,668.54,109.67,0,0,0,300.5468,668.5397,109.6666,48.18,3.23,31.25,19.16,Haze.
Punjab,Pakistan,2/20/2021,30.811346,72.139132,166777,5185,154568,151037.6,190012.7,112180.6,90271.04,46320.48,158305.5,41792023,33611540,50748019,382.65,196.34,671.05,22,22,22,5190.5,5190.19,5190.99,524.53,524.53,524.53,2.452747,1.779143,3.120744,41792020,33611539,50748016,1.18815,0.8765618,1.508521,151036.4,112179.7,190011.2,113939260,13.6504,1,1,1.1153,0,0.4474,1,16189.9,26660.49,8859.08,3200.54,5270.44,1751.33,1480.05,2895.69,637.63,0,0,0,1480.045,2895.686,637.6295,65.92,2.08,13.69,8.77,Fog.
Sindh,Pakistan,2/20/2021,26.009446,68.776807,255430,4276,238498,23886.31,33296.3,16513.17,49578.11,26300.87,83944.29,31465120,24331482,38521953,103.55,54.94,175.33,8.86,8.86,8.86,4241.84,4241.44,4242.47,348.89,348.89,348.89,0.3742937,0.2696925,0.5122924,31465120,24331482,38521953,0.1742043,0.1203419,0.2431133,23886.14,16513.05,33296.05,49907676,7.2245,1,1,1.1077,0,0.5425,1,4525.94,7127.43,2571.82,894.72,1409,508.42,388.34,698.93,179.68,0,0,0,388.3429,698.9258,179.6761,35.14,3.29,10.71,12.87,Sunny.
Azad Jammu and Kashmir,Pakistan,2/21/2021,34.027401,73.947253,9777,288,8938,6819.93,8953.69,5115.38,3347.91,1679.99,5773.22,1634439,1310765,1971324,17.37,8.71,29.97,1.5,1.5,1.51,289.67,289.21,290.41,56.17,56.17,56.17,0.1844617,0.1434605,0.2379182,1634439,1310765,1971323,0.07418358,0.05568514,0.09756214,6819.852,5115.327,8953.597,4334762,11.5888,1,1,1.1165,0,0.4426,1,853.13,1316.78,445.4,168.06,259.4,87.74,75.18,130.85,37.88,0,0,0,75.1791,130.8493,37.88028,50,0.86,24.86,0,Passing clouds.
Balochistan,Pakistan,2/21/2021,28.328492,65.898403,18979,199,18697,3129.32,6384.41,1585.85,6458.7,3538.25,11107.9,6050140,4057695,7454999,0.03,0.03,0.03,0,0,0,199.28,199.11,199.55,7.32,7.32,7.32,0.06248248,0.02625501,0.1149847,6050140,4057695,7454999,0.0277398,0.0144407,0.05688093,3129.297,1585.833,6384.352,13398367,8.4647,1,1,1.1084,0,0.2767,1,242.1,426.47,127.62,47.69,84.01,25.14,27.71,57.96,11.33,0,0,0,27.70763,57.95953,11.33322,48.71,6.71,23.43,0,Passing clouds.
Gilgit-Baltistan,Pakistan,2/21/2021,35.792146,74.982138,4951,102,4821,38.58,54.65,24.05,1988.61,1029.57,3489.07,1133782,648355.6,1520528,0.42,0.23,0.72,0.02,0.02,0.02,103.19,102.89,103.64,1.53,1.53,1.53,0.0008856862,0.000562853,0.001321551,1133782,648355.6,1520528,0.0003378348,0.0002106582,0.0004773188,38.57665,24.05025,54.64543,2227138,11.5888,1,1,1.1185,0,0.3895,1,29.65,50.82,14.69,5.84,10.01,2.89,1.74,3.45,0.7,0,0,0,1.743757,3.454452,0.6974306,27.29,0.71,5.71,4.29,Clear.
Islamabad,Pakistan,2/21/2021,33.665087,73.121219,43402,488,41279,3586.92,5924.12,1611.65,1440.03,872.57,2350.67,860018.4,451283.1,1224477,3.15,1.91,5.14,1.08,1.08,1.09,494.16,492.58,496.14,121.74,121.74,121.74,0.09172975,0.04032714,0.1509556,860018.4,451283.1,1224477,0.03736339,0.01668568,0.06234239,3586.882,1611.636,5924.058,2155173,0.0415,1,1,1.1163,0,0.4579,1,212.3,329.67,109.06,41.82,64.94,21.48,23.89,43.39,9.67,0,0,0,23.88731,43.3872,9.669072,63.86,2.43,23.71,17.16,Clear.
Khyber Pakhtunkhwa,Pakistan,2/21/2021,34.485332,72.09169,70886,2032,66685,54014.68,75281.53,29122.16,37605.66,17899.64,68100.6,24525855,15090544,29171295,113.53,54.04,205.59,6.14,6.14,6.15,2035.43,2035.09,2035.96,167.39,167.39,167.39,1.258176,0.6791506,1.76609,24525853,15090543,29171293,0.4969864,0.2654799,0.6978799,54014.18,29121.89,75280.83,38100471,16.6429,1,1,1.1166,0,0.38,1,3591.25,6852.19,1624.39,707.45,1349.84,319.99,298.5,648.45,115.12,0,0,0,298.4993,648.4489,115.121,54.11,3.3,37.27,19.84,Passing clouds.
Punjab,Pakistan,2/21/2021,30.811346,72.139132,167345,5204,154895,154279.1,207363.4,115275.5,90674.81,46527.65,159013.6,41946302,33728161,50934619,403.77,207.18,708.09,23.22,23.22,23.22,5213.72,5213.4,5214.2,532.1,532.1,532.1,4.074221,2.992203,5.273013,41946298,33728158,50934613,1.621474,1.21306,2.20366,154277.5,115274.3,207361.2,113939260,13.9602,1,1,1.1128,0,0.4422,1,16444.46,27290.41,9015.37,3239.45,5376.03,1775.97,1484.96,2869.51,649.07,0,0,0,1484.959,2869.514,649.0681,56.25,0.88,4.17,3.75,Clear.
Sindh,Pakistan,2/21/2021,26.009446,68.776807,255834,4288,238792,22729.92,31432.81,15745.9,49669.14,26349.17,84098.41,31487850,24348194,38549971,91.03,48.3,154.12,7.79,7.79,7.79,4249.63,4249.22,4250.26,347.6,347.6,347.6,0.5956096,0.4262097,0.8195893,31487850,24348194,38549970,0.2213159,0.1526994,0.307297,22729.7,15745.75,31432.51,49907676,7.425,1,1,1.1054,0,0.5442,1,4443.07,6983.89,2474.77,875.26,1375.78,487.51,363.5,682.25,163.36,0,0,0,363.4984,682.2518,163.3634,63.86,2.43,23.71,17.16,Clear.
