Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
Khyber Pakhtunkhwa,Pakistan,2022-01-05 04:21:59,34.485332,72.09169,181537.0,5935.0,
Punjab,Pakistan,2022-01-05 04:21:59,30.811346,72.13913199999998,445940.0,13076.0,
Sindh,Pakistan,2022-01-05 04:21:59,26.009446,68.77680699999999,483648.0,7675.0,
Azad Jammu and Kashmir,Pakistan,2021-01-06 05:22:16,34.027401,73.947253,8396.0,229.0,7833.0
Balochistan,Pakistan,2021-01-06 05:22:16,28.328492,65.898403,18280.0,186.0,17857.0
Gilgit-Baltistan,Pakistan,2021-01-06 05:22:16,35.792146,74.982138,4873.0,101.0,4717.0
Islamabad,Pakistan,2021-01-06 05:22:16,33.665087,73.121219,38531.0,432.0,35609.0
Khyber Pakhtunkhwa,Pakistan,2021-01-06 05:22:16,34.485332,72.09169,59955.0,1695.0,55025.0
Punjab,Pakistan,2021-01-06 05:22:16,30.811346,72.13913199999998,142058.0,4184.0,128775.0
Sindh,Pakistan,2021-01-06 05:22:16,26.009446,68.77680699999999,220501.0,3634.0,198577.0
Azad Jammu and Kashmir,Pakistan,2022-01-06 04:22:09,34.027401,73.947253,34682.0,746.0,
Balochistan,Pakistan,2022-01-06 04:22:09,28.328492,65.898403,33654.0,366.0,
Gilgit-Baltistan,Pakistan,2022-01-06 04:22:09,35.792146,74.982138,10429.0,186.0,
Islamabad,Pakistan,2022-01-06 04:22:09,33.665087,73.121219,108984.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-06 04:22:09,34.485332,72.09169,181573.0,5938.0,
Punjab,Pakistan,2022-01-06 04:22:09,30.811346,72.13913199999998,446300.0,13076.0,
Sindh,Pakistan,2022-01-06 04:22:09,26.009446,68.77680699999999,484226.0,7676.0,
Azad Jammu and Kashmir,Pakistan,2021-01-07 05:22:03,34.027401,73.947253,8416.0,232.0,7871.0
Balochistan,Pakistan,2021-01-07 05:22:03,28.328492,65.898403,18300.0,186.0,17883.0
Gilgit-Baltistan,Pakistan,2021-01-07 05:22:03,35.792146,74.982138,4874.0,101.0,4722.0
Islamabad,Pakistan,2021-01-07 05:22:03,33.665087,73.121219,38687.0,434.0,35916.0
Khyber Pakhtunkhwa,Pakistan,2021-01-07 05:22:03,34.485332,72.09169,60229.0,1702.0,55372.0
Punjab,Pakistan,2021-01-07 05:22:03,30.811346,72.13913199999998,142835.0,4203.0,129102.0
Sindh,Pakistan,2021-01-07 05:22:03,26.009446,68.77680699999999,221734.0,3653.0,199649.0
Azad Jammu and Kashmir,Pakistan,2022-01-07 04:22:09,34.027401,73.947253,34689.0,746.0,
Balochistan,Pakistan,2022-01-07 04:22:09,28.328492,65.898403,33655.0,366.0,
