,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
41,Sindh,Pakistan,2021-01-07 05:22:03,26.009446,68.77680699999999,221734.0,3653.0,463.04507339726126,1.6474694904705638
42,Azad Jammu and Kashmir,Pakistan,2021-01-08 05:22:42,34.027401,73.947253,8430.0,234.0,208.38658356252563,2.775800711743772
43,Balochistan,Pakistan,2021-01-08 05:22:42,28.328492,65.898403,18314.0,186.0,148.35867382218734,1.015616468275636
44,Gilgit-Baltistan,Pakistan,2021-01-08 05:22:42,35.792146,74.982138,4878.0,101.0,481.2625297952612,2.070520705207052
45,Islamabad,Pakistan,2021-01-08 05:22:42,33.665087,73.121219,38842.0,436.0,1935.739161116571,1.1224962669275529
46,Khyber Pakhtunkhwa,Pakistan,2021-01-08 05:22:42,34.485332,72.09169,60536.0,1710.0,198.3267182382968,2.8247654288357342
47,Punjab,Pakistan,2021-01-08 05:22:42,30.811346,72.13913199999998,143511.0,4221.0,130.44979039734432,2.941237953885068
48,Sindh,Pakistan,2021-01-08 05:22:42,26.009446,68.77680699999999,222999.0,3670.0,465.6867612658225,1.6457472903465935
49,Azad Jammu and Kashmir,Pakistan,2021-01-09 05:22:18,34.027401,73.947253,8451.0,235.0,208.9056960482685,2.7807360075730685
50,Balochistan,Pakistan,2021-01-09 05:22:18,28.328492,65.898403,18351.0,187.0,148.65840468007863,1.0190180371641873
51,Gilgit-Baltistan,Pakistan,2021-01-09 05:22:18,35.792146,74.982138,4879.0,101.0,481.3611896004672,2.070096331215413
52,Islamabad,Pakistan,2021-01-09 05:22:18,33.665087,73.121219,38970.0,436.0,1942.1181995961276,1.1188093405183477
53,Khyber Pakhtunkhwa,Pakistan,2021-01-09 05:22:18,34.485332,72.09169,60751.0,1718.0,199.03109653255527,2.827936988691544
54,Punjab,Pakistan,2021-01-09 05:22:18,30.811346,72.13913199999998,144111.0,4242.0,130.99518325390872,2.9435643358244685
55,Sindh,Pakistan,2021-01-09 05:22:18,26.009446,68.77680699999999,224004.0,3679.0,467.7854935250351,1.6423813860466778
56,Azad Jammu and Kashmir,Pakistan,2021-01-10 05:22:12,34.027401,73.947253,8478.0,235.0,209.5731263870809,2.771880160415192
57,Balochistan,Pakistan,2021-01-10 05:22:12,28.328492,65.898403,18373.0,188.0,148.83662302801395,1.0232406248299135
58,Gilgit-Baltistan,Pakistan,2021-01-10 05:22:12,35.792146,74.982138,4879.0,101.0,481.3611896004672,2.070096331215413
59,Islamabad,Pakistan,2021-01-10 05:22:12,33.665087,73.121219,39120.0,439.0,1949.593635314357,1.1221881390593047
60,Khyber Pakhtunkhwa,Pakistan,2021-01-10 05:22:12,34.485332,72.09169,61148.0,1728.0,200.33173924334892,2.825930529207824
61,Punjab,Pakistan,2021-01-10 05:22:12,30.811346,72.13913199999998,144909.0,4260.0,131.72055575313928,2.939775997350061
62,Sindh,Pakistan,2021-01-10 05:22:12,26.009446,68.77680699999999,225509.0,3693.0,470.92837118684105,1.6376286534018598
63,Azad Jammu and Kashmir,Pakistan,2021-01-11 05:21:50,34.027401,73.947253,8489.0,235.0,209.84504245104148,2.768288373188833
64,Balochistan,Pakistan,2021-01-11 05:21:50,28.328492,65.898403,18412.0,188.0,149.1525555538994,1.021073213121877
65,Gilgit-Baltistan,Pakistan,2021-01-11 05:21:50,35.792146,74.982138,4880.0,101.0,481.4598494056733,2.069672131147541
66,Islamabad,Pakistan,2021-01-11 05:21:50,33.665087,73.121219,39242.0,441.0,1955.673656365184,1.1237959329290046
67,Khyber Pakhtunkhwa,Pakistan,2021-01-11 05:21:50,34.485332,72.09169,61424.0,1740.0,201.2359644024901,2.8327689502474604
68,Punjab,Pakistan,2021-01-11 05:21:50,30.811346,72.13913199999998,145508.0,4272.0,132.2650396216093,2.935921049014487
69,Sindh,Pakistan,2021-01-11 05:21:50,26.009446,68.77680699999999,226338.0,3699.0,472.6595642643408,1.6342814728415025
70,Azad Jammu and Kashmir,Pakistan,2021-01-12 05:22:15,34.027401,73.947253,8501.0,235.0,210.1416781571804,2.764380661098694
71,Balochistan,Pakistan,2021-01-12 05:22:15,28.328492,65.898403,18429.0,188.0,149.29026973184943,1.0201313147756257
72,Gilgit-Baltistan,Pakistan,2021-01-12 05:22:15,35.792146,74.982138,4882.0,101.0,481.6571690160855,2.068824252355592
73,Islamabad,Pakistan,2021-01-12 05:22:15,33.665087,73.121219,39340.0,443.0,1960.5576077010944,1.1260803253685816
74,Khyber Pakhtunkhwa,Pakistan,2021-01-12 05:22:15,34.485332,72.09169,61648.0,1743.0,201.96982829976412,2.82734233065144
75,Punjab,Pakistan,2021-01-12 05:22:15,30.811346,72.13913199999998,146016.0,4299.0,132.72680557350049,2.944197896120973
76,Sindh,Pakistan,2021-01-12 05:22:15,26.009446,68.77680699999999,227885.0,3708.0,475.8901501399645,1.6271364942843978
77,Azad Jammu and Kashmir,Pakistan,2021-01-13 05:22:15,34.027401,73.947253,8521.0,235.0,210.63607100074503,2.757892266165943
78,Balochistan,Pakistan,2021-01-13 05:22:15,28.328492,65.898403,18467.0,188.0,149.59810142373777,1.0180321654843776
79,Gilgit-Baltistan,Pakistan,2021-01-13 05:22:15,35.792146,74.982138,4882.0,101.0,481.6571690160855,2.068824252355592
80,Islamabad,Pakistan,2021-01-13 05:22:15,33.665087,73.121219,39462.0,447.0,1966.6376287519213,1.1327352896457352
81,Khyber Pakhtunkhwa,Pakistan,2021-01-13 05:22:15,34.485332,72.09169,62018.0,1748.0,203.1820142015113,2.818536553903705
82,Punjab,Pakistan,2021-01-13 05:22:15,30.811346,72.13913199999998,146525.0,4323.0,133.18948051348593,2.95034976966388
83,Sindh,Pakistan,2021-01-13 05:22:15,26.009446,68.77680699999999,228949.0,3730.0,478.1120915566832,1.629183792023551
84,Azad Jammu and Kashmir,Pakistan,2021-01-14 05:22:32,34.027401,73.947253,8540.0,236.0,211.10574420213155,2.7634660421545667
85,Balochistan,Pakistan,2021-01-14 05:22:32,28.328492,65.898403,18488.0,188.0,149.7682189376761,1.0168758113370835
86,Gilgit-Baltistan,Pakistan,2021-01-14 05:22:32,35.792146,74.982138,4882.0,101.0,481.6571690160855,2.068824252355592
87,Islamabad,Pakistan,2021-01-14 05:22:32,33.665087,73.121219,39624.0,449.0,1974.7110993276087,1.1331516252776097
88,Khyber Pakhtunkhwa,Pakistan,2021-01-14 05:22:32,34.485332,72.09169,62377.0,1752.0,204.35816214401743,2.8087275758693107
89,Punjab,Pakistan,2021-01-14 05:22:32,30.811346,72.13913199999998,147292.0,4348.0,133.88667438179402,2.951959373217826
90,Sindh,Pakistan,2021-01-14 05:22:32,26.009446,68.77680699999999,230718.0,3744.0,481.8062779910583,1.6227602527761162
91,Azad Jammu and Kashmir,Pakistan,2021-01-15 05:22:24,34.027401,73.947253,8567.0,237.0,211.7731745409439,2.766429321816272
92,Balochistan,Pakistan,2021-01-15 05:22:24,28.328492,65.898403,18515.0,189.0,149.98694145559676,1.0207939508506616
93,Gilgit-Baltistan,Pakistan,2021-01-15 05:22:24,35.792146,74.982138,4882.0,101.0,481.6571690160855,2.0688242523555918
94,Islamabad,Pakistan,2021-01-15 05:22:24,33.665087,73.121219,39749.0,449.0,1980.9406290928007,1.1295881657400186
95,Khyber Pakhtunkhwa,Pakistan,2021-01-15 05:22:24,34.485332,72.09169,62719.0,1762.0,205.4786150586054,2.8093560165181204
96,Punjab,Pakistan,2021-01-15 05:22:24,30.811346,72.13913199999998,147953.0,4370.0,134.48751551210907,2.953640683189932
97,Sindh,Pakistan,2021-01-15 05:22:24,26.009446,68.77680699999999,231953.0,3755.0,484.385317135464,1.6188624419602247
98,Azad Jammu and Kashmir,Pakistan,2021-01-16 05:22:40,34.027401,73.947253,8583.0,238.0,212.1686888157957,2.772923220319236
99,Balochistan,Pakistan,2021-01-16 05:22:40,28.328492,65.898403,18537.0,190.0,150.16515980353208,1.0249770728812646
100,Gilgit-Baltistan,Pakistan,2021-01-16 05:22:40,35.792146,74.982138,4882.0,101.0,481.6571690160855,2.068824252355592
101,Islamabad,Pakistan,2021-01-16 05:22:40,33.665087,73.121219,39888.0,450.0,1987.867866191694,1.128158844765343
102,Khyber Pakhtunkhwa,Pakistan,2021-01-16 05:22:40,34.485332,72.09169,62996.0,1773.0,206.38611639585943,2.814464410438758
103,Punjab,Pakistan,2021-01-16 05:22:40,30.811346,72.13913199999998,148488.0,4387.0,134.97382414254562,2.9544474974408708
104,Sindh,Pakistan,2021-01-16 05:22:40,26.009446,68.77680699999999,233396.0,3769.0,487.3987207673483,1.6148520111741418
105,Azad Jammu and Kashmir,Pakistan,2021-01-17 05:22:17,34.027401,73.947253,8606.0,241.0,212.73724058589508,2.800371833604462
106,Balochistan,Pakistan,2021-01-17 05:22:17,28.328492,65.898403,18569.0,190.0,150.4243864914381,1.0232107275566804
107,Gilgit-Baltistan,Pakistan,2021-01-17 05:22:17,35.792146,74.982138,4882.0,101.0,481.6571690160855,2.068824252355592
108,Islamabad,Pakistan,2021-01-17 05:22:17,33.665087,73.121219,40019.0,456.0,1994.3964133856143,1.139458757090382
109,Khyber Pakhtunkhwa,Pakistan,2021-01-17 05:22:17,34.485332,72.09169,63339.0,1779.0,207.50984548856025,2.808696064036376
110,Punjab,Pakistan,2021-01-17 05:22:17,30.811346,72.13913199999998,149222.0,4409.0,135.64102140374268,2.954658160324885
111,Sindh,Pakistan,2021-01-17 05:22:17,26.009446,68.77680699999999,234654.0,3775.0,490.0257906002731,1.6087516087516087
112,Azad Jammu and Kashmir,Pakistan,2021-01-18 05:22:34,34.027401,73.947253,8631.0,241.0,213.3552316403509,2.792260456494033
113,Balochistan,Pakistan,2021-01-18 05:22:34,28.328492,65.898403,18612.0,190.0,150.77272235331168,1.0208467655276166
114,Gilgit-Baltistan,Pakistan,2021-01-18 05:22:34,35.792146,74.982138,4884.0,101.0,481.8544886264976,2.067977067977068
115,Islamabad,Pakistan,2021-01-18 05:22:34,33.665087,73.121219,40111.0,457.0,1998.981347292796,1.1393383361172746
116,Khyber Pakhtunkhwa,Pakistan,2021-01-18 05:22:34,34.485332,72.09169,63615.0,1783.0,208.4140706477014,2.8027980822133145
117,Punjab,Pakistan,2021-01-18 05:22:34,30.811346,72.13913199999998,149782.0,4432.0,136.15005473653608,2.9589670320866324
118,Sindh,Pakistan,2021-01-18 05:22:34,26.009446,68.77680699999999,235576.0,3793.0,491.95119472265526,1.61009610486637
119,Azad Jammu and Kashmir,Pakistan,2021-01-19 05:22:15,34.027401,73.947253,8654.0,243.0,213.9237834104504,2.807950080887451
120,Balochistan,Pakistan,2021-01-19 05:22:15,28.328492,65.898403,18622.0,190.0,150.85373069328233,1.020298571582
121,Gilgit-Baltistan,Pakistan,2021-01-19 05:22:15,35.792146,74.982138,4887.0,101.0,482.1504680421159,2.06670759156947
122,Islamabad,Pakistan,2021-01-19 05:22:15,33.665087,73.121219,40177.0,457.0,2002.2705390088167,1.1374667098090947
123,Khyber Pakhtunkhwa,Pakistan,2021-01-19 05:22:15,34.485332,72.09169,63825.0,1791.0,209.10206805139572,2.8061104582843712
124,Punjab,Pakistan,2021-01-19 05:22:15,30.811346,72.13913199999998,150316.0,4460.0,136.63545437887834,2.9670826791559115
125,Sindh,Pakistan,2021-01-19 05:22:15,26.009446,68.77680699999999,236530.0,3813.0,493.9434241508033,1.6120576671035387
126,Azad Jammu and Kashmir,Pakistan,2021-01-20 05:21:54,34.027401,73.947253,8672.0,245.0,214.36873696965856,2.8251845018450186
